# id	description_da_full	description_en	confidence
4134	Kirurgi, Operation Lyskebrok med videre 1.	Surgery, inguinal hernia operation etc., 1st	high
1928	Statens Serum Institut, ASCA i inflammatorisk tarmsygdom	Statens Serum Institut, ASCA in inflammatory bowel disease	high
2188	Statens Serum Institut, Rejsediarré	Statens Serum Institut, travellers' diarrhoea	high
1614	Medicinsk Laboratorium, Plasma/Serum-Testosteron	Medical Laboratory, P/S testosterone	high
615	Pædiatri, E-mail konsultation	Paediatrics, e-mail consultation	high
2974	Gynækologi/obstetrik, E-mail konsultation	Gynaecology/obstetrics, e-mail consultation	high
3578	Almen lægehjælp 80, Møde VI over 20 Km	General practitioner, meeting VI over 20 km	high
3992	Præhospital, Afstandstakst 21 km	Pre-hospital, distance rate 21 km	high
2994	Gynækologi/obstetrik, Incision Cyste 1.	Gynaecology/obstetrics, incision of cyst, 1st	high
3765	Almen lægehjælp 80, opfølgning demens	General practitioner, dementia follow-up	high
3373	Almen lægehjælp 80, Attestarbejde uden konsultation, moms	General practitioner, certificate work without consultation, VAT	high
673	Børnepsykiatri, 1. Konsultation Voksen + Barn	Child psychiatry, 1st consultation, adult + child	high
2157	Statens Serum Institut, Parasitologisk undersøgelse	Statens Serum Institut, parasitological examination	high
3361	Almen lægehjælp 80, Alkoholklinik	General practitioner, alcohol clinic	high
3762	Almen lægehjælp 80, medicinforbrug (amt 76)	General practitioner, medication consumption (county 76)	medium
2611	Ridefysioterapi, Bagsidder pr. ½ time	Horseback-riding physiotherapy, rear-rider per half hour	medium
1076	Københavns Praktiserende Lægers Laboratorium, Diurese 24 timer	Copenhagen GP Laboratory (KPLL), 24-hour diuresis	high
3459	Almen lægehjælp 80, Fortsat kontrol	General practitioner, continued monitoring	high
4213	Kirurgi, Zinklim- og plasterbind	Surgery, zinc-glue and adhesive bandage	high
2392	Diagnostisk radiologi, fod/fodled følgende	Diagnostic radiology, foot/ankle, subsequent	high
389	Ørelægehjælp, Blokade af ansigtsnerve	ENT service, block of the facial nerve	high
2314	Diagnostisk radiologi, Belastningsundersøgelse af led	Diagnostic radiology, weight-bearing examination of joint	high
2133	Statens Serum Institut, Mitokondrie antistof	Statens Serum Institut, mitochondrial antibody	high
3455	Almen lægehjælp 80, Forebyggende helbredsundersøgelse (A60)	General practitioner, preventive health examination (county 60)	medium
3638	Almen lægehjælp 80, Serum-jern	General practitioner, serum iron	high
3406	Almen lægehjælp 80, Blodprøve 1. graviditetsundersøgelse	General practitioner, blood sample, 1st pregnancy examination	high
4106	Kirurgi, Incision Absces 1.	Surgery, incision of abscess, 1st	high
1461	Københavns Praktiserende Lægers Laboratorium, Somatomedin C, IGF1	Copenhagen GP Laboratory (KPLL), somatomedin C, IGF1	high
971	Københavns Praktiserende Lægers Laboratorium, Appelsin IgE;Plasma	Copenhagen GP Laboratory (KPLL), orange IgE;P	high
1341	Københavns Praktiserende Lægers Laboratorium, Mononucleose, EBV	Copenhagen GP Laboratory (KPLL), mononucleosis, EBV	high
672	Børnepsykiatri, 1. Konsultation Familie	Child psychiatry, 1st consultation, family	high
2924	Vederlagsfri ridefysioterapi, Rideklub med hal 1 person	Free-of-charge horseback-riding physiotherapy, riding club with arena, 1 person	high
3038	Gynækologi/obstetrik, Serum-østradiolbestemmelse 6	Gynaecology/obstetrics, serum oestradiol determination 6	high
162	Øjenlægehjælp, Fluorescensangiografi	Ophthalmology service, fluorescein angiography	high
1982	Statens Serum Institut, Carbohydrat-deficient (transferrin)	Statens Serum Institut, carbohydrate-deficient (transferrin)	medium
1431	Københavns Praktiserende Lægers Laboratorium, Renin;Plasma	Copenhagen GP Laboratory (KPLL), renin;P	high
2117	Statens Serum Institut, Leptospira antistof	Statens Serum Institut, Leptospira antibody	high
2741	Fysioterapi 61, Normal behandling	Physiotherapy 61, normal treatment	high
1218	Københavns Praktiserende Lægers Laboratorium, Hovedgruppe 3 KPLL	Copenhagen GP Laboratory (KPLL), main group 3 KPLL	high
1613	Medicinsk Laboratorium, Plasma/Serum-Renin	Medical Laboratory, P/S renin	high
560	Psykiatri, Blod-Sedimentationsreaktion 2	Psychiatry, blood sedimentation reaction 2	high
977	Københavns Praktiserende Lægers Laboratorium, Aspergillus v. IgE;Plasma	Copenhagen GP Laboratory (KPLL), Aspergillus IgE;P	medium
1192	Københavns Praktiserende Lægers Laboratorium, Haptoglobin;Plasma	Copenhagen GP Laboratory (KPLL), haptoglobin;P	high
2631	Genoptræning, Øfeldt, Behandling muskellidelse pr. 1 time	Rehabilitation, Øfeldt, treatment of muscle disorder per 1 hour	high
3946	Vagtlægehjælp 83, Svangerskabsreaktion, urinchorion 4	On-call GP service 83, pregnancy test, urine chorionic 4	medium
2249	Statens Serum Institut, Tetanustoksin antistof	Statens Serum Institut, tetanus toxin antibody	high
2015	Statens Serum Institut, E.coli PCR, Rejsediarré	Statens Serum Institut, E. coli PCR, travellers' diarrhoea	medium
1307	Københavns Praktiserende Lægers Laboratorium, Lungefunktion uden bronkodilatator	Copenhagen GP Laboratory (KPLL), lung function without bronchodilator	medium
1356	Københavns Praktiserende Lægers Laboratorium, Noradrenalin;døgnurin	Copenhagen GP Laboratory (KPLL), noradrenaline;24-hour urine	high
284	Ortopædisk kirurgi, Fjernelse Negleleje 1.	Orthopaedic surgery, removal of nail bed, 1st	high
2644	Genoptræning, Øfeldt, Vederlagsfri kontrolundersøgelse, handicap	Rehabilitation, Øfeldt, free-of-charge follow-up examination, disability	medium
2373	Diagnostisk radiologi, Skulderled og overarm	Diagnostic radiology, shoulder joint and upper arm	high
922	Dermato-venerologi, rhinophyma	Dermato-venereology, rhinophyma	high
3151	Intern medicin, Lunge - Peak Expiratory Flow 3	Internal medicine, Lung - Peak Expiratory Flow 3	high
1606	Medicinsk Laboratorium, Plasma/Serum-Aldosteron 3	Medical Laboratory, Plasma/Serum-Aldosterone 3	high
961	Københavns Praktiserende Lægers Laboratorium, Amoxicillin IgE;Plasma	Copenhagen GP Laboratory (KPLL), Amoxicillin IgE;P	high
2868	Psykologhjælp, Gruppekonsultation 3 personer efter konsultation	Psychology service, group consultation 3 persons after consultation	medium
1493	Københavns Praktiserende Lægers Laboratorium, Testosteron;Plasma	Copenhagen GP Laboratory (KPLL), Testosterone;P	high
2233	Statens Seruminstitut, TPB Standard	Statens Serum Institut, TPB Standard	low
3181	Intern medicin, Total lungekapacitet	Internal medicine, total lung capacity	high
3623	Almen lægehjælp 80, Reposition store led	General practitioner, reposition of large joint	high
3883	Vagtlægehjælp 83, 1. Behandling Knoglebrud	On-call GP service 83, 1st treatment of bone fracture	high
4109	Kirurgi, Incision Cyste 1.	Surgery, incision of cyst 1st	high
273	Ortopædisk kirurgi, Dupuytren	Orthopaedic surgery, Dupuytren	high
2388	Diagnostisk radiologi, brysthvirvler følgende	Diagnostic radiology, thoracic vertebrae subsequent	high
2590	Ortonyxi, Afstilling plade/pensel +10km	Orthonyxia, adjustment of plate/brace +10km	low
962	Københavns Praktiserende Lægers Laboratorium, Ampicillin IgE;Plasma	Copenhagen GP Laboratory (KPLL), Ampicillin IgE;P	high
2024	Statens Seruminstitut, Entamoeba antistof	Statens Serum Institut, Entamoeba antibody	high
1216	Københavns Praktiserende Lægers Laboratorium, Hjemme BT-måling	Copenhagen GP Laboratory (KPLL), home blood-pressure measurement	high
3150	Intern medicin, Laktoseintolerans	Internal medicine, lactose intolerance	high
155	Øjenlægehjælp, Fjernelse Pterygium med anæstesi	Ophthalmology service, removal of pterygium with anaesthesia	high
2262	Statens Seruminstitut, Triple-test SSI	Statens Serum Institut, triple test SSI	high
2791	Vederlagsfri fysioterapi, Hold 2 personer amt 51 62	Free-of-charge physiotherapy, group 2 persons county 51 62	medium
3976	Vagtlægehjælp 83, §2 A35 Konsultation hos/besøg	On-call GP service 83, §2 A35 consultation at/visit	medium
360	Ortopædisk kirurgi, Tenosynovektomi hånd	Orthopaedic surgery, tenosynovectomy hand	high
2136	Statens Seruminstitut, Morbillivirus antistof	Statens Serum Institut, measles virus antibody	high
1249	Københavns Praktiserende Lægers Laboratorium, Inhibin-B:Plasma	Copenhagen GP Laboratory (KPLL), Inhibin-B:P	high
3129	Intern medicin, E-mail konsultation	Internal medicine, e-mail consultation	high
1714	Medicinsk Laboratorium, Urin-Cannabinol ARBK	Medical Laboratory, Urine-Cannabinol ARBK	medium
257	Ortopædisk kirurgi, Artroskopi knæ mindre indgreb	Orthopaedic surgery, arthroscopy knee minor procedure	high
2906	Kiropraktik kronikere, kombineret 1010/3001	Chiropractic, chronic patients, combined 1010/3001	high
1993	Statens Seruminstitut, Chlamydophila psittaci	Statens Serum Institut, Chlamydophila psittaci	high
3368	Almen lægehjælp 80, Ansættelse terminal moms	General practitioner, terminal-care appointment, VAT	low
431	Ørelægehjælp, Incision af byld	ENT service, incision of abscess	high
478	Ørelægehjælp, Septumplastik	ENT service, septoplasty	high
1513	Københavns Praktiserende Lægers Laboratorium, Troponin I;Plasma	Copenhagen GP Laboratory (KPLL), Troponin I;P	high
1368	Københavns Praktiserende Lægers Laboratorium, Oxcarbazepin;Plasma	Copenhagen GP Laboratory (KPLL), Oxcarbazepine;P	high
2577	Fodterapi, Orteser	Podiatry, orthoses	high
1034	Københavns Praktiserende Lægers Laboratorium, Carbamid;Plasma	Copenhagen GP Laboratory (KPLL), Carbamide (urea);P	high
1536	Københavns Praktiserende Lægers Laboratorium, Valproat;Plasma	Copenhagen GP Laboratory (KPLL), Valproate;P	high
2169	Statens Seruminstitut, Persisterende diarré	Statens Serum Institut, persistent diarrhoea	high
1334	Københavns Praktiserende Lægers Laboratorium, Mitokondrie antistof	Copenhagen GP Laboratory (KPLL), mitochondrial antibody	high
2635	Genoptræning, Øfeldt, Klinisk undersøgelse muskellidelse	Rehabilitation, Øfeldt, clinical examination muscle disorder	medium
2033	Statens Seruminstitut, Follikelstimulerende	Statens Serum Institut, follicle-stimulating	high
1673	Medicinsk Laboratorium, Serum-MAST-CLA	Medical Laboratory, Serum-MAST-CLA	medium
2319	Diagnostisk radiologi, Brysthvirvler	Diagnostic radiology, thoracic vertebrae	high
1464	Københavns Praktiserende Lægers Laboratorium, Sperma antistof;Sædplasma	Copenhagen GP Laboratory (KPLL), sperm antibody;SemP	medium
921	Dermato-venerologi, laserbehandling vorter §3	Dermato-venereology, laser treatment of warts §3	high
1383	Københavns Praktiserende Lægers Laboratorium, Patogene bakterier	Copenhagen GP Laboratory (KPLL), pathogenic bacteria	high
2514	Fysioterapi 51, Plejehjem over 10 km	Physiotherapy, nursing home over 10 km	high
1308	Københavns Praktiserende Lægers Laboratorium, Lupus antikoagulant;Plasma	Copenhagen GP Laboratory (KPLL), Lupus anticoagulant;P	medium
3456	Almen lægehjælp 80, Forebyggende ydelser	General practitioner, preventive services	high
2209	Statens Seruminstitut, Salmonella antistof	Statens Serum Institut, Salmonella antibody	high
2621	Ridefysioterapi, Rideklub med hal 5 personer	Horseback-riding physiotherapy, riding club with hall 5 persons	high
2196	Statens Seruminstitut, Reumafaktor (IgM)	Statens Serum Institut, rheumatoid factor (IgM)	high
1160	Københavns Praktiserende Lægers Laboratorium, Gluten IgE;Plasma	Copenhagen GP Laboratory (KPLL), Gluten IgE;P	high
1409	Københavns Praktiserende Lægers Laboratorium, Proinsulin;Plasma	Copenhagen GP Laboratory (KPLL), Proinsulin;P	high
1979	Statens Seruminstitut, Campylobacter antistof	Statens Serum Institut, Campylobacter antibody	high
2029	Statens Seruminstitut, Faktor V Leiden mutation	Statens Serum Institut, Factor V Leiden mutation	high
204	Øjenlægehjælp, Operation for Chalazion med anæstesi	Ophthalmology service, operation for chalazion with anaesthesia	high
1112	Københavns Praktiserende Lægers Laboratorium, Event-recording	Copenhagen GP Laboratory (KPLL), event recording	high
2166	Statens Seruminstitut, Parvovirus B-19, DNA	Statens Serum Institut, Parvovirus B-19, DNA	high
292	Ortopædisk kirurgi, Gipsbandager	Orthopaedic surgery, plaster casts	high
1976	Statens Seruminstitut, Calicivirus PCR	Statens Serum Institut, Calicivirus PCR	high
1372	Københavns Praktiserende Lægers Laboratorium, PSA-Ratio;Plasma	Copenhagen GP Laboratory (KPLL), PSA-Ratio;P	high
1118	Københavns Praktiserende Lægers Laboratorium, Fenytoin;Plasma	Copenhagen GP Laboratory (KPLL), Phenytoin;P	high
3530	Almen lægehjælp 80, Kørselsgodtgørelse II	General practitioner, travel allowance II	high
2258	Statens Seruminstitut, Transglutaminase i	Statens Serum Institut, transglutaminase i	medium
1942	Statens Seruminstitut, Almindelig bakteriologisk undersøgelse, nedre	Statens Serum Institut, ordinary bacteriological examination, lower	medium
2187	Statens Seruminstitut, Reaktiv Artritis/Ta	Statens Serum Institut, reactive arthritis/Ta	low
1698	Medicinsk Laboratorium, Serum-TSH-Receptor-Antistof	Medical Laboratory, Serum-TSH-Receptor-Antibody	high
3537	Almen lægehjælp 80, Livsstilscentret	General practitioner, the lifestyle centre	high
1514	Københavns Praktiserende Lægers Laboratorium, Troponin T;Plasma (EK	Copenhagen GP Laboratory (KPLL), Troponin T;P (EK	medium
2668	Fodbehandling arvævspatienter, Kontrol/eftersyn	Foot treatment, scar-tissue patients, check-up/inspection	high
3085	Gynækologi/obstetrik, følgende conisation	Gynaecology/obstetrics, subsequent conisation	high
2181	Statens Seruminstitut, Prolaktin	Statens Serum Institut, prolactin	high
3301	Almen lægehjælp 80, 1 modul	General practitioner, 1 module	high
1350	Københavns Praktiserende Lægers Laboratorium, Narkotika-screening;Urin	Copenhagen GP Laboratory (KPLL), narcotics screening (urine)	high
3161	Intern medicin, Perifer trykmåling arm/ankel/tå	Internal medicine, peripheral pressure measurement arm/ankle/toe	medium
1680	Medicinsk Laboratorium, S-PIIINP	Medical Laboratory, S-PIIINP	high
1619	Medicinsk Laboratorium, RETINOLER	Medical Laboratory, retinols	medium
2980	Gynækologi/obstetrik, Evacuatio uteri	Gynaecology/obstetrics, evacuatio uteri	high
2573	Fodterapi, Kontrol/eftersyn	Podiatry, check-up/inspection	high
2755	Vederlagsfri fysioterapi, Basis 5 perioder egne 51 62	Free-of-charge physiotherapy, basic 5 periods own 51 62	medium
416	Ørelægehjælp, Fjernelse fremmedlegeme, følgende	ENT service, removal of foreign body, subsequent	high
318	Ortopædisk kirurgi, Operation åreknuder i lyske venstre ben	Orthopaedic surgery, operation for varicose veins in groin, left leg	medium
2512	Fysioterapi 51, Plejehjem 0 - 4 Km	Physiotherapy 51, nursing home 0 - 4 km	high
3127	Intern medicin, Diffusionskapacitet	Internal medicine, diffusion capacity	high
2908	Kiropraktik kronikere, kombineret 1020/3001	Chiropractic, chronic patients, combined 1020/3001	high
2799	Vederlagsfri fysioterapi, Hold 6 perioder amt 51 62	Free-of-charge physiotherapy, group 6 periods county 51 62	medium
3143	Intern medicin, Koloskopi	Internal medicine, colonoscopy	high
1603	Medicinsk Laboratorium, P/S(fPt)-INSULIN	Medical Laboratory, P/S(fPt)-insulin	high
1318	Københavns Praktiserende Lægers Laboratorium, Magnesium;Plasma	Copenhagen GP Laboratory (KPLL), magnesium (plasma)	high
321	Ortopædisk kirurgi, Operation knyst, følgende	Orthopaedic surgery, operation for bunion, subsequent	high
2278	Statens Seruminstitut, Yersinia pseudotuberculosis	Statens Serum Institut, Yersinia pseudotuberculosis	high
2505	Fysioterapi 51, Massage	Physiotherapy 51, massage	high
2219	Statens Seruminstitut, Strongyloides antistof	Statens Serum Institut, Strongyloides antibody	high
1966	Statens Seruminstitut, Bartonella antistof	Statens Serum Institut, Bartonella antibody	high
117	Neuromedicin, Email konsultation	Neurology, email consultation	high
3840	Kak vagtlægehjælp 82, C-Reaktivt Protein	KAK on-call GP 82, C-reactive protein	high
2343	Diagnostisk radiologi, Hystero-salpingografi	Diagnostic radiology, hysterosalpingography	high
1217	Københavns Praktiserende Lægers Laboratorium, Homocystein;Plasma	Copenhagen GP Laboratory (KPLL), homocysteine (plasma)	high
2006	Statens Seruminstitut, Denguevirus antistof	Statens Serum Institut, dengue virus antibody	high
2121	Statens Seruminstitut, Luftvejspanel (Influenza)	Statens Serum Institut, respiratory panel (influenza)	high
2578	Fodterapi, Ortheser silicone	Podiatry, orthoses silicone	high
1437	Københavns Praktiserende Lægers Laboratorium, Rhesus antistof uge 35	Copenhagen GP Laboratory (KPLL), Rhesus antibody week 35	high
4176	Kirurgi, Residualurin, ultralyd	Surgery, residual urine, ultrasound	high
1139	Københavns Praktiserende Lægers Laboratorium, Gastrin;Plasma	Copenhagen GP Laboratory (KPLL), gastrin (plasma)	high
1362	Københavns Praktiserende Lægers Laboratorium, Ornitose - antistof	Copenhagen GP Laboratory (KPLL), ornithosis - antibody	high
2154	Statens Seruminstitut, PR3-ANCA (IgG)	Statens Serum Institut, PR3-ANCA (IgG)	high
2513	Fysioterapi 51, Plejehjem 5 - 10 Km	Physiotherapy 51, nursing home 5 - 10 km	high
1581	Medicinsk Laboratorium, CATECHOLAMINER; egen	Medical Laboratory, catecholamines; own	medium
988	Københavns Praktiserende Lægers Laboratorium, Beta2-Microglobulin;Plasma	Copenhagen GP Laboratory (KPLL), beta2-microglobulin (plasma)	high
1955	Statens Seruminstitut, Anti-AChR	Statens Serum Institut, anti-AChR	high
1074	Københavns Praktiserende Lægers Laboratorium, Distalt tryk over ekstremitet	Copenhagen GP Laboratory (KPLL), distal pressure over extremity	medium
590	Psykiatri, ukendt	Psychiatry, unknown	high
3071	Gynækologi/obstetrik, Urethraldilatation	Gynaecology/obstetrics, urethral dilation	high
4132	Kirurgi, Operation lyskebrok 1. med anæstesi	Surgery, operation for inguinal hernia, 1st, with anaesthesia	high
3076	Gynækologi/obstetrik, Vaginalplastik	Gynaecology/obstetrics, vaginoplasty	high
1917	Statens Seruminstitut, ANA screening og titrering	Statens Serum Institut, ANA screening and titration	medium
278	Ortopædisk kirurgi, Fjernelse svulst muskel, følgende operation	Orthopaedic surgery, removal of tumour, muscle, subsequent operation	medium
2274	Statens Seruminstitut, Virus luftvejspakke	Statens Serum Institut, virus respiratory package	high
2020	Statens Seruminstitut, Echinococcus granulosus	Statens Serum Institut, Echinococcus granulosus	high
3700	Almen lægehjælp 80, Udskiftning pacemaker	General practitioner 80, replacement of pacemaker	medium
3165	Intern medicin, Patient-Ekg F E Belastning 9	Internal medicine, patient ECG, exercise stress 9	low
2982	Gynækologi/obstetrik, Fentonplastik	Gynaecology/obstetrics, Fenton plasty	high
3187	Intern medicin, U-Methylketon 1	Internal medicine, U-methylketone 1	medium
1248	Københavns Praktiserende Lægers Laboratorium, Inhibin-A;Plasma	Copenhagen GP Laboratory (KPLL), inhibin-A (plasma)	high
3193	Intern medicin, Ultralydsscanning periferarterie	Internal medicine, ultrasound scan peripheral artery	high
2147	Statens Seruminstitut, Mykobakterier, mikroskopi	Statens Serum Institut, mycobacteria, microscopy	high
1498	Københavns Praktiserende Lægers Laboratorium, Topiramat;Plasma	Copenhagen GP Laboratory (KPLL), topiramate (plasma)	high
2212	Statens Seruminstitut, Schistosoma antistof	Statens Serum Institut, Schistosoma antibody	high
970	Københavns Praktiserende Lægers Laboratorium, Antitrypsin;Plasma	Copenhagen GP Laboratory (KPLL), antitrypsin (plasma)	high
1584	Medicinsk Laboratorium, F-FEDT I FÆCES	Medical Laboratory, F-fat in faeces	high
1028	Københavns Praktiserende Lægers Laboratorium, Campylobacter antistof;Plasma	Copenhagen GP Laboratory (KPLL), Campylobacter antibody (plasma)	high
1077	Københavns Praktiserende Lægers Laboratorium, Diverse tests	Copenhagen GP Laboratory (KPLL), various tests	high
3519	Almen lægehjælp 80, Konference 4 moduler	General practitioner 80, conference 4 modules	high
3517	Almen lægehjælp 80, Klamydiaprojekt aftale 70	General practitioner 80, chlamydia project agreement 70	medium
2044	Statens Seruminstitut, Glat muskel antistof	Statens Serum Institut, smooth muscle antibody	high
4056	Kirurgi, Ano-rektal ultralyd	Surgery, anorectal ultrasound	high
1310	Københavns Praktiserende Lægers Laboratorium, Lymfogranuloma venereum antistof	Copenhagen GP Laboratory (KPLL), lymphogranuloma venereum antibody	medium
1983	Statens Seruminstitut, Carcinoembryonalt antigen	Statens Serum Institut, carcinoembryonic antigen	high
2130	Statens Seruminstitut, Mannan bindende protein	Statens Serum Institut, mannan-binding protein	high
1708	Medicinsk Laboratorium, TRIIODTHYRONIN (FRIT)	Medical Laboratory, triiodothyronine (free)	high
2070	Statens Seruminstitut, Hepatitis B vaccine	Statens Serum Institut, hepatitis B vaccine	high
1376	Københavns Praktiserende Lægers Laboratorium, Papirhveps IgE;Plasma	Copenhagen GP Laboratory (KPLL), paper wasp IgE (plasma)	high
3569	Almen lægehjælp 80, Motion/recept udredning	General practitioner 80, exercise/prescription assessment	medium
1121	Københavns Praktiserende Lægers Laboratorium, Fersken IgE;Plasma	Copenhagen GP Laboratory (KPLL), peach IgE (plasma)	high
1700	Medicinsk Laboratorium, S-VITAMIN E	Medical Laboratory, S-vitamin E	high
1049	Københavns Praktiserende Lægers Laboratorium, Clonazepam;Plasma	Copenhagen GP Laboratory (KPLL), clonazepam (plasma)	high
1706	Medicinsk Laboratorium, Thyreoidea antistoffer	Medical Laboratory, thyroid antibodies	high
3994	Præhospital, B-glukose (fotometer)	Pre-hospital, blood glucose (photometer)	high
944	Københavns Praktiserende Lægers Laboratorium, Adrenalin;døgnurin	Copenhagen GP Laboratory (KPLL), adrenaline;24-hour urine	high
1201	Københavns Praktiserende Lægers Laboratorium, Hemiglobin;Blod	Copenhagen GP Laboratory (KPLL), haemiglobin;(blood)	high
927	Dermato-venerologi, venerologi senere konsultation	Dermato-venereology, venereology later consultation	high
2043	Statens Seruminstitut, Germinalcelletumor	Statens Serum Institut, germ cell tumour	high
154	Øjenlægehjælp, Fjernelse pterygium med anæstesi	Ophthalmology service, removal of pterygium with anaesthesia	high
2201	Statens Seruminstitut, Rota-, adeno-, astro-	Statens Serum Institut, rota-, adeno-, astro-	medium
3135	Intern medicin, Fjernelse polyp, colon	Internal medicine, removal of polyp, colon	high
1471	Københavns Praktiserende Lægers Laboratorium, Strachybotrys atra IgE;Plasma	Copenhagen GP Laboratory (KPLL), Stachybotrys atra IgE;(plasma)	medium
1229	Københavns Praktiserende Lægers Laboratorium, Hvepsegift IgE;Plasma	Copenhagen GP Laboratory (KPLL), wasp venom IgE;(plasma)	high
2129	Statens Seruminstitut, Malariaparasitter	Statens Serum Institut, malaria parasites	high
3324	Almen lægehjælp 80, 3 moduler	General practitioner, 3 modules	high
3065	Gynækologi/obstetrik, Urin-svangerskabsreaktion 3	Gynaecology/obstetrics, urine pregnancy reaction 3	high
3138	Intern medicin, Gastroskopi, amt 20	Internal medicine, gastroscopy, (county 20)	high
2940	Gynækologi/obstetrik, 1. konsultation abort	Gynaecology/obstetrics, 1st consultation, abortion	high
2257	Statens Seruminstitut, Transglutaminase antistoffer	Statens Serum Institut, transglutaminase antibodies	high
3116	Intern medicin, Blod-sedimentationsreaktion 2	Internal medicine, blood sedimentation reaction 2	high
2738	Fysioterapi 61, Manuel behandling	Physiotherapy 61, manual treatment	high
3932	Vagtlægehjælp 83, Lungefunktionsundersøgelse 3	On-call GP service 83, lung function examination 3	high
461	Ørelægehjælp, Operation ydre næse med anæstesi	ENT service, operation on external nose with anaesthesia	high
1113	Københavns Praktiserende Lægers Laboratorium, Fæces-Helicobacter pylori (antigen)	Copenhagen GP Laboratory (KPLL), faeces-Helicobacter pylori (antigen)	high
4164	Kirurgi, Operation vandbrok, testes	Surgery, operation for hydrocele, testes	high
1322	Københavns Praktiserende Lægers Laboratorium, Malariaparasitter	Copenhagen GP Laboratory (KPLL), malaria parasites	high
901	Dermato-venerologi, Urin-svangerskabsundersøgelse 3	Dermato-venereology, urine pregnancy examination 3	high
1401	Københavns Praktiserende Lægers Laboratorium, Porphyriner, frie;Urin	Copenhagen GP Laboratory (KPLL), porphyrins, free;(urine)	high
2254	Statens Seruminstitut, Toxoplasma gondii antistoffer	Statens Serum Institut, Toxoplasma gondii antibodies	high
2754	Vederlagsfri fysioterapi, Basis 1 periode amt 51 62	Free-of-charge physiotherapy, basic 1 period (county) 51 62	medium
848	Dermato-venerologi, Incision absces subsequent	Dermato-venereology, incision of abscess, subsequent	high
3197	Intern medicin, total koloskopi amt 20	Internal medicine, total colonoscopy (county 20)	high
2973	Gynækologi/obstetrik, E-mail konsultation	Gynaecology/obstetrics, e-mail consultation	high
1325	Københavns Praktiserende Lægers Laboratorium, Mannan binding lektin antistoffer	Copenhagen GP Laboratory (KPLL), mannan-binding lectin antibodies	medium
682	Børnepsykiatri, E-mail konsultation	Child psychiatry, e-mail consultation	high
3617	Almen lægehjælp 80, Prothrombin 6	General practitioner, prothrombin 6	high
1663	Medicinsk Laboratorium, Serum-flecainid	Medical Laboratory, serum flecainide	high
1481	Københavns Praktiserende Lægers Laboratorium, T3 reaktion;Plasma	Copenhagen GP Laboratory (KPLL), T3 reaction;(plasma)	high
4179	Kirurgi, Revision sår 1. med anæstesi	Surgery, wound revision, 1st, with anaesthesia	high
434	Ørelægehjælp, Infundibulektomi	ENT service, infundibulectomy	medium
3679	Almen lægehjælp 80, Tillæg til vaccinationshonorar	General practitioner, supplement to vaccination fee	high
3169	Intern medicin, Rektoskopi	Internal medicine, rectoscopy	high
3350	Almen lægehjælp 80, Afstandstillæg 4-8 km	General practitioner, distance supplement 4-8 km	high
959	Københavns Praktiserende Lægers Laboratorium, Amiodaron;Plasma	Copenhagen GP Laboratory (KPLL), amiodarone;(plasma)	high
315	Ortopædisk kirurgi, Operation åreknuder ekstra lyske venstre	Orthopaedic surgery, operation for varicose veins, additional, groin, left	medium
1457	Københavns Praktiserende Lægers Laboratorium, Sjögrens syndrom antistoffer;Plasma	Copenhagen GP Laboratory (KPLL), Sjögren's syndrome antibodies;(plasma)	high
2312	Diagnostisk radiologi, Albue følgende	Diagnostic radiology, elbow, subsequent	high
972	Københavns Praktiserende Lægers Laboratorium, Arbejdstest ved astma	Copenhagen GP Laboratory (KPLL), exercise test for asthma	high
2568	Fodterapi, Indlæg type 2 enkelt	Podiatry, insole type 2, single	high
3167	Intern medicin, Patient-glukosebelastning 12	Internal medicine, patient glucose tolerance test 12	high
990	Københavns Praktiserende Lægers Laboratorium, Bicarbonat, standard;venøst blod	Copenhagen GP Laboratory (KPLL), bicarbonate, standard;venous blood	high
2858	Psykologhjælp, 2. og efterfølgende konsultation (county 65)	Psychology service, 2nd and subsequent consultation (county 65)	high
3723	Almen lægehjælp 80, Vaccination i forbindelse med udbrud af smitsom sygdom	General practitioner, vaccination in connection with an outbreak of infectious disease	medium
1247	Københavns Praktiserende Lægers Laboratorium, Inhibin-FSH-ratio	Copenhagen GP Laboratory (KPLL), inhibin-FSH ratio	high
1552	Københavns Praktiserende Lægers Laboratorium, Zuklopenthixol;Plasma	Copenhagen GP Laboratory (KPLL), zuclopenthixol;(plasma)	high
1030	Københavns Praktiserende Lægers Laboratorium, Cancerantigen 15-3	Copenhagen GP Laboratory (KPLL), cancer antigen 15-3	high
2867	Psykologhjælp, Gruppekonsultation 3 personer 1 konsultation	Psychology service, group consultation, 3 persons, 1 consultation	high
2266	Statens Seruminstitut, Tyreoglobulin antistoffer	Statens Serum Institut, thyroglobulin antibodies	high
2062	Statens Seruminstitut, Haemophilus influenzae	Statens Serum Institut, Haemophilus influenzae	high
3198	Intern medicin, ukendt	Internal medicine, unknown	low
2310	Diagnostisk radiologi, Albue	Diagnostic radiology, elbow	high
2757	Vederlagsfri fysioterapi, Basis 8 perioder egne 51 62	Free-of-charge physiotherapy, basic 8 periods, own 51 62	medium
2016	Statens Seruminstitut, E.coli PCR, immunsupprimeret	Statens Serum Institut, E. coli PCR, immunosuppressed	medium
1610	Medicinsk Laboratorium, Plasma/Serum-immunglobulin E	Medical Laboratory, plasma/serum immunoglobulin E	high
