code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
EDU_field_257486,EDU,field,257486,"Fransk-italiensk, erhvervssproglig","Fransk-italiensk, erhvervssproglig",,Business French-Italian,,,translated,raw_edu_field,medium,danish,,
EDU_field_256240,EDU,field,256240,Tibetologi,Tibetologi,,Tibetology,,,translated,raw_edu_field,medium,danish,,
EDU_field_255430,EDU,field,255430,Rumænsk,Rumænsk,,Romanian,,,translated,raw_edu_field,medium,danish,,
EDU_field_257460,EDU,field,257460,"Tysk-russisk, erhvervssproglig","Tysk-russisk, erhvervssproglig",,Business German-Russian,,,translated,raw_edu_field,medium,danish,,
EDU_field_257240,EDU,field,257240,"Polsk, erhvervssproglig","Polsk, erhvervssproglig",,"Polish, vocational language",,,translated,raw_edu_field,medium,danish,,
EDU_field_257455,EDU,field,257455,"Tysk-italiensk, erhvervssproglig","Tysk-italiensk, erhvervssproglig",,"German-Italian, vocational language",,,translated,raw_edu_field,medium,danish,,
EDU_field_257480,EDU,field,257480,"Spansk-russisk, erhvervssproglig","Spansk-russisk, erhvervssproglig",,"Spanish-Russian, vocational language",,,translated,raw_edu_field,medium,danish,,
EDU_field_991010,EDU,field,991010,Afbrudt,Afbrudt,,Discontinued,,,translated,raw_edu_field,medium,danish,,
EDU_field_555111,EDU,field,555111,Grundforløb,Grundforløb,,Foundation course,,,translated,raw_edu_field,medium,danish,,
EDU_field_992010,EDU,field,992010,Igang,Igang,,In progress,,,translated,raw_edu_field,medium,danish,,
EDU_field_582040,EDU,field,582040,Kloakering og pilotering mv.,Kloakering og pilotering mv.,,Sewerage and piloting etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_309516,EDU,field,309516,Miljø og etik,Miljø og etik,,Environment and ethics,,,translated,raw_edu_field,medium,danish,,
EDU_field_301510,EDU,field,301510,"Designer, digital design og kommunikation","Designer, digital design og kommunikation",,"Design, digital design and communication",,,translated,raw_edu_field,medium,danish,,
EDU_field_653516,EDU,field,653516,Stråleterapi,Stråleterapi,,Radiation therapy,,,translated,raw_edu_field,medium,danish,,
EDU_field_803030,EDU,field,803030,"Chauffør, flytning og renovation","Chauffør, flytning og renovation",,"Driver, moving and renovation",,,translated,raw_edu_field,medium,danish,,
EDU_field_802015,EDU,field,802015,Kranføring,Kranføring,,Crane operation,,,translated,raw_edu_field,medium,danish,,
EDU_field_451525,EDU,field,451525,Zoologi,Zoologi,,Zoology,,,translated,raw_edu_field,medium,danish,,
EDU_field_257820,EDU,field,257820,Nordisk filologi,Nordisk filologi,,Nordic philology,,,translated,raw_edu_field,medium,danish,,
EDU_field_302020,EDU,field,302020,"Designer, indretning og interiør","Designer, indretning og interiør",,Interior Design and Decoration,,,translated,raw_edu_field,medium,danish,,
EDU_field_452510,EDU,field,452510,Biologisk laboratorieteknik,Biologisk laboratorieteknik,,Biological laboratory technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_701525,EDU,field,701525,Rengørings- og institutionsservice mv.,Rengørings- og institutionsservice mv.,,Cleaning and Institutional Services etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_402020,EDU,field,402020,Forsikring,Forsikring,,Insurance,,,translated,raw_edu_field,medium,danish,,
EDU_field_302015,EDU,field,302015,"Designer, beklædning og mode","Designer, beklædning og mode",,Fashion and Clothing Design,,,translated,raw_edu_field,medium,danish,,
EDU_field_254035,EDU,field,254035,Oldtidskundskab,Oldtidskundskab,,Classics (Ancient-world studies),,,translated,raw_edu_field,medium,danish,,
EDU_field_304040,EDU,field,304040,Musikvidenskab og -teori,Musikvidenskab og -teori,,Music Theory and Science,,,translated,raw_edu_field,medium,danish,,
EDU_field_451520,EDU,field,451520,Botanik,Botanik,,Botanik,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_302025,EDU,field,302025,"Designer, industrielt design","Designer, industrielt design",,"Designer, industrielt design",,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_255630,EDU,field,255630,Serbokroatisk,Serbokroatisk,,Serbo-Croatian,,,translated,raw_edu_field,medium,danish,,
EDU_field_602511,EDU,field,602511,Jordbrugsbiologi,Jordbrugsbiologi,,Jordbrugsbiologi,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_256615,EDU,field,256615,Græsk,Græsk,,Greek,,,translated,raw_edu_field,medium,danish,,
EDU_field_256620,EDU,field,256620,Latin,Latin,,Latin,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_255620,EDU,field,255620,Polsk,Polsk,,Polish,,,translated,raw_edu_field,medium,danish,,
EDU_field_255635,EDU,field,255635,Bulgarsk,Bulgarsk,,Bulgarian,,,translated,raw_edu_field,medium,danish,,
EDU_field_255625,EDU,field,255625,Tjekkisk,Tjekkisk,,Czech,,,translated,raw_edu_field,medium,danish,,
EDU_field_981030,EDU,field,981030,"Studiefag uoplyst, andre","Studiefag uoplyst, andre",,"Undefined Academic Subject, Other",,,translated,raw_edu_field,medium,danish,,
EDU_field_257420,EDU,field,257420,"Engelsk-portugisisk, erhvervssproglig","Engelsk-portugisisk, erhvervssproglig",,Business English-Portuguese,,,translated,raw_edu_field,medium,danish,,
EDU_field_409025,EDU,field,409025,Erhvervsøkonomi med teknologi,Erhvervsøkonomi med teknologi,,Technology-oriented Business Administration,,,translated,raw_edu_field,medium,danish,,
EDU_field_994030,EDU,field,994030,Uoplyst (indvandrernes uddannelse),Uoplyst (indvandrernes uddannelse),,Undefined (Immigrants' Education),,,translated,raw_edu_field,medium,danish,,
EDU_field_995010,EDU,field,995010,Ingen uddannelse (indvandrernes uddannelse),Ingen uddannelse (indvandrernes uddannelse),,No Education (Immigrants' Education),,,translated,raw_edu_field,medium,danish,,
EDU_field_656525,EDU,field,656525,Pædagogisk arbejde med børn og unge i øvrigt,Pædagogisk arbejde med børn og unge i øvrigt,,"Educational work with children and youth, other",,,translated,raw_edu_field,medium,danish,,
EDU_field_751010,EDU,field,751010,Forsvar u.n.a.,Forsvar u.n.a.,,Forsvar u.n.a.,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_301010,EDU,field,301010,Kunstnerisk u.n.a.,Kunstnerisk u.n.a.,,"Artistic, unspecified",,,translated,raw_edu_field,medium,danish,,
EDU_field_981010,EDU,field,981010,Studiefag uoplyst indv. udd.,Studiefag uoplyst indv. udd.,,"Academic subjects unspecified, individual education",,,translated,raw_edu_field,medium,danish,,
EDU_field_751510,EDU,field,751510,Politi og sikkerhed u.n.a.,Politi og sikkerhed u.n.a.,,"Police and security, other not available",,,translated,raw_edu_field,medium,danish,,
EDU_field_701530,EDU,field,701530,Husholdningskurser,Husholdningskurser,,Home economics courses,,,translated,raw_edu_field,medium,danish,,
EDU_field_204010,EDU,field,204010,"Læreruddannelse, erhvervsskole/sprogcenter mv.","Læreruddannelse, erhvervsskole/sprogcenter mv.",,"Teacher training, vocational schools/language centers etc.",,,translated,raw_edu_field,medium,danish,,
EDU_field_501020,EDU,field,501020,IT-administrator,IT-administrator,,IT administrator,,,translated,raw_edu_field,medium,danish,,
EDU_field_555035,EDU,field,555035,Øvrige fødevareindustri,Øvrige fødevareindustri,,Other food industry,,,translated,raw_edu_field,medium,danish,,
EDU_field_656010,EDU,field,656010,Handicap- og ældrepleje u.n.a.,Handicap- og ældrepleje u.n.a.,,"Disability and elderly care, other not available",,,translated,raw_edu_field,medium,danish,,
EDU_field_271040,EDU,field,271040,Grafisk-tekniske uddannelser i øvrigt,Grafisk-tekniske uddannelser i øvrigt,,"Graphic-technical education, other",,,translated,raw_edu_field,medium,danish,,
EDU_field_209010,EDU,field,209010,"Undervisning og læring, tværfaglige uddannelser u.n.a.","Undervisning og læring, tværfaglige uddannelser u.n.a.",,"Teaching and learning, interdisciplinary education, other not available",,,translated,raw_edu_field,medium,danish,,
EDU_field_355530,EDU,field,355530,Museologi,Museologi,,Museology,,,translated,raw_edu_field,medium,danish,,
