description_da,n_rows,sample_value,specialty_code,specialty_name_en,spec4_txt,spec3_txt,plo_fuller,current_bad_en
"Statens Seruminstitut, TPB Standard + 4 su",1,481178,48,Statens Serum Institut,Undergruppe 11,Hovedgruppe 1,,"Statens Serum Institut, TPB Standard + 4 su"
"Statens Seruminstitut, TPB Standard + 5 su",1,481179,48,Statens Serum Institut,Undergruppe 11,Hovedgruppe 1,,"Statens Serum Institut, TPB Standard + 5 su"
"Statens Seruminstitut, TPB Standard + Cl.",1,481193,48,Statens Serum Institut,Undergruppe 11,Hovedgruppe 1,,"Statens Serum Institut, TPB Standard + Cl."
"Statens Seruminstitut, TPB standardanalyse",1,486130,48,Statens Serum Institut,Undergruppe 61,Hovedgruppe 6,,"Statens Serum Institut, TPB standardanalyse"
"Statens Seruminstitut, TPO-antistof i pakk",1,486306,48,Statens Serum Institut,Undergruppe 63,Hovedgruppe 6,,"State Serum Institute, TPO antibody in package"
"Statens Seruminstitut, TSH-receptor antist",1,486331,48,Statens Serum Institut,Undergruppe 63,Hovedgruppe 6,,"State Serum Institute, Thyroid Stimulating Hormone Receptor Antibody"
"Statens Seruminstitut, Taenia antistof (Cy",1,481941,48,Statens Serum Institut,Undergruppe 19,Hovedgruppe 1,,"Statens Serum Institut, Taenia antistof (Cy"
"Statens Seruminstitut, Tarmbakt.st.ana.+ 1",1,481296,48,Statens Serum Institut,Undergruppe 12,Hovedgruppe 1,,"Statens Serum Institut, Tarmbakt.st.ana.+ 1"
"Statens Seruminstitut, Tarmpatogene bakter",8,481155,48,Statens Serum Institut,Undergruppe 11,Hovedgruppe 1,,"State Serum Institute, Colorectal pathogenic bacteria"
"Statens Seruminstitut, Testosteron",1,482315,48,Statens Serum Institut,Undergruppe 23,Hovedgruppe 2,,"Statens Serum Institut, Testosteron"
"Statens Seruminstitut, Tetanus vaccine 1 d",1,484275,48,Statens Serum Institut,Undergruppe 42,Hovedgruppe 4,,"Statens Serum Institut, Tetanus vaccine 1 d"
"Statens Seruminstitut, Tetanus vaccine 10",1,484276,48,Statens Serum Institut,Undergruppe 42,Hovedgruppe 4,,"Statens Serum Institut, Tetanus vaccine 10"
"Statens Seruminstitut, Tetanustoksin antis",1,481625,48,Statens Serum Institut,Undergruppe 16,Hovedgruppe 1,,"Statens Serum Institut, Tetanustoksin antis"
"Statens Seruminstitut, Thyreoglobulin (ser",1,482451,48,Statens Serum Institut,Undergruppe 24,Hovedgruppe 2,,"State Serum Institute, Thyroglobulin (ser"
"Statens Seruminstitut, Tillæg pos. syfilis",1,481668,48,Statens Serum Institut,Undergruppe 16,Hovedgruppe 1,,"State Serum Institute, Syphilis Test Positive"
"Statens Seruminstitut, Tillæg udv.pos.syfi",1,481229,48,Statens Serum Institut,Undergruppe 12,Hovedgruppe 1,,"State Serum Institute, Supplement from Positive Syphilis Test"
"Statens Seruminstitut, Toxocara antistof",1,481937,48,Statens Serum Institut,Undergruppe 19,Hovedgruppe 1,,"Statens Serum Institut, Toxocara antistof"
"Statens Seruminstitut, Toxoplasma gondii a",1,481916,48,Statens Serum Institut,Undergruppe 19,Hovedgruppe 1,,"Statens Serum Institut, Toxoplasma gondii a"
"Statens Seruminstitut, Toxoplasma, Elisa G",3,481914,48,Statens Serum Institut,Undergruppe 19,Hovedgruppe 1,,"Statens Serum Institut, Toxoplasma, Elisa G"
"Statens Seruminstitut, Toxoplasmose gondii",1,481925,48,Statens Serum Institut,Undergruppe 19,Hovedgruppe 1,,"Statens Serum Institut, Toxoplasmose gondii"
"Statens Seruminstitut, Transglutaminase an",2,482180,48,Statens Serum Institut,Undergruppe 21,Hovedgruppe 2,,"State Serum Institute, Transglutaminase test"
"Statens Seruminstitut, Transglutamunase i",1,486304,48,Statens Serum Institut,Undergruppe 63,Hovedgruppe 6,,"State Serum Institute, Transglutaminase in"
"Statens Seruminstitut, Transport af pakker",1,489909,48,Statens Serum Institut,Undergruppe 99,Hovedgruppe 9,,"State Serum Institute, TRANSPORT OF PACKAGES"
"Statens Seruminstitut, Trichinella spp. an",1,481939,48,Statens Serum Institut,Undergruppe 19,Hovedgruppe 1,,"Statens Serum Institut, Trichinella spp. an"
"Statens Seruminstitut, Trichomonas vaginal",1,481303,48,Statens Serum Institut,Undergruppe 13,Hovedgruppe 1,,"Statens Serum Institut, Trichomonas vaginal"
"Statens Seruminstitut, Triple-test SSI",1,482200,48,Statens Serum Institut,Undergruppe 22,Hovedgruppe 2,,"Statens Serum Institut, Triple-test SSI"
"Statens Seruminstitut, Trofozoitter, mik f",1,481532,48,Statens Serum Institut,Undergruppe 15,Hovedgruppe 1,,"State Serum Institute, Trophozoites, micro finding"
"Statens Seruminstitut, Trypanosoma antisto",1,481940,48,Statens Serum Institut,Undergruppe 19,Hovedgruppe 1,,"State Serum Institute, Trypanosoma Antibody"
"Statens Seruminstitut, Tværstribet muskel",1,482118,48,Statens Serum Institut,Undergruppe 21,Hovedgruppe 2,,"State Serum Institute, Transverse Muscle Biopsy"
"Statens Seruminstitut, Tyreoglobulin antis",1,482171,48,Statens Serum Institut,Undergruppe 21,Hovedgruppe 2,,"State Serum Institute, Thyroglobulin antibody test"
"Statens Seruminstitut, Tyreoidea peroxidas",1,482120,48,Statens Serum Institut,Undergruppe 21,Hovedgruppe 2,,"Statens Serum Institut, Tyreoidea peroxidas"
"Statens Seruminstitut, Ureaplasma urealyti",2,481216,48,Statens Serum Institut,Undergruppe 12,Hovedgruppe 1,,"State Serum Institute, Ureaplasma urealyticum"
"Statens Seruminstitut, Urinprøvesæt, 10 st",1,483163,48,Statens Serum Institut,Undergruppe 31,Hovedgruppe 3,,"State Serum Institute, Urine Test, 10 items"
"Statens Seruminstitut, Urogenitale mycopla",1,481218,48,Statens Serum Institut,Undergruppe 12,Hovedgruppe 1,,"State Serum Institute, Urogenital mycoplasma"
"Statens Seruminstitut, Vacuna BCG,  1?20 d",1,484286,48,Statens Serum Institut,Undergruppe 42,Hovedgruppe 4,,"Statens Serum Institut, Vacuna BCG,  1?20 d"
"Statens Seruminstitut, Vaginalpodning",1,481302,48,Statens Serum Institut,Undergruppe 13,Hovedgruppe 1,,"State Serum Institute, Vaginal inoculation"
"Statens Seruminstitut, Varicella Zoster vi",4,481474,48,Statens Serum Institut,Undergruppe 14,Hovedgruppe 1,,"Statens Serum Institut, Varicella Zoster vi"
"Statens Seruminstitut, Virus luftvejspakke",5,481877,48,Statens Serum Institut,Undergruppe 18,Hovedgruppe 1,,"State Serum Institute, Respiratory virus panel"
"Statens Seruminstitut, Virus transportmedi",1,483165,48,Statens Serum Institut,Undergruppe 31,Hovedgruppe 3,,"State Serum Institute, Virus Transport Medium"
"Statens Seruminstitut, Vivaglobin,2x10 ml.",1,485157,48,Statens Serum Institut,Undergruppe 51,Hovedgruppe 5,,"Statens Serum Institut, Vivaglobin,2x10 ml."
"Statens Seruminstitut, Yersinia enterocoli",1,481607,48,Statens Serum Institut,Undergruppe 16,Hovedgruppe 1,,"Statens Serum Institut, Yersinia enterocoli"
"Statens Seruminstitut, Yersinia pseudotube",1,481664,48,Statens Serum Institut,Undergruppe 16,Hovedgruppe 1,,"Statens Serum Institut, Yersinia pseudotube"
"Statens Seruminstitut, anti-CCP",1,486338,48,Statens Serum Institut,Undergruppe 63,Hovedgruppe 6,,"Statens Serum Institut, anti-CCP"
"Statens Seruminstitut, anti-CCP (R488)",1,486336,48,Statens Serum Institut,Undergruppe 63,Hovedgruppe 6,,"Statens Serum Institut, anti-CCP (R488)"
"Statens Seruminstitut, diTeBooster 5?1 ds.",1,484121,48,Statens Serum Institut,Undergruppe 41,Hovedgruppe 4,,"Statens Serum Institut, diTeBooster 5?1 ds."
"Statens Seruminstitut, ds-DNA i pakke (møn",1,486310,48,Statens Serum Institut,Undergruppe 63,Hovedgruppe 6,,"State Serum Institute, ds-DNA in package (mn)."
"Statens Seruminstitut, dsDNA antistof (IgG",2,482103,48,Statens Serum Institut,Undergruppe 21,Hovedgruppe 2,,"Statens Serum Institut, dsDNA antistof (IgG"
"Statens Seruminstitut, ukendt",19,486520,48,Statens Serum Institut,Virus luftvejspakke,Hovedgruppe 6,,"Statens Serum Institut, ukendt"
"Statens Seruminstitut, ¯-celle antistof (I",1,482138,48,Statens Serum Institut,Undergruppe 21,Hovedgruppe 2,,"Statens Serum Institut, ¯-celle antistof (I"
"Statens Seruminstitut, ¯-celle i Diabetes",1,486328,48,Statens Serum Institut,Undergruppe 63,Hovedgruppe 6,,"State Serum Institute, Beta-cell in Diabetes"
"Statens Seruminstitut, ¯stradiol",1,482319,48,Statens Serum Institut,Undergruppe 23,Hovedgruppe 2,,"State Serum Institute, Estradiol"
"Statens Seruminstitut, ¯strogenstatus",1,482322,48,Statens Serum Institut,Undergruppe 23,Hovedgruppe 2,,"State Serum Institute, Estrogen status"
"Statens Seruminstitut, ¯strogenstatus excl",1,482327,48,Statens Serum Institut,Undergruppe 23,Hovedgruppe 2,,"State Serum Institute, Estrogen status excluding"
"Tandplejere, Regelmæssig us fra 26 år",1,491140,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygiene, Regular check-up from age 26"
"Tandplejere, Undersøgelse",1,491001,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, Examination"
"Tandplejere, alm. paradontalbeh.",1,491420,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, general periodontal care"
"Tandplejere, bitewings ved kontrol efter RDU",1,491152,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist services, bitewing X-rays for follow-up after RDU"
"Tandplejere, bitewings ved regelmæssig us.",1,491150,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienists, bitewing X-rays at regular check-ups"
"Tandplejere, indiv. forebyggende beh.",1,492920,49,Dental hygienist service,Tandplejer,Tandplejer,,"Dental hygienist, individual preventive treatment"
"Tandplejere, kons. uden beh.",1,493020,49,Dental hygienist service,Tandplejer,Tandplejer,,"Dental hygienist, consultation without treatment"
"Tandplejere, kontrol af alm. paradontalbeh.",1,491452,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, control of general periodontal treatment."
"Tandplejere, kontrol efter us 18-25 år",1,491171,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, follow-up control after US 18-25 years"
"Tandplejere, kontrol efter us fra 26 år",1,491170,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, follow-up after UFS from 26 months"
"Tandplejere, kontrold af udvidet paradontalbeh.",1,491453,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dentists, control of expanded periodontal care."
"Tandplejere, regelmæssig us 18-25 år",1,491141,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, regular unscheduled visits 18-25 years"
"Tandplejere, tandrensningunder 15 tænder",1,491302,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, teeth scaling under 15 teeth"
"Tandplejere, tansrensning mindst 15 tænder",1,491301,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental Hygienist, teeth cleaning of at least 15 teeth"
"Tandplejere, udv. paradontalbeh.",1,491430,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, extended periodontal care"
"Tandplejere, udvidet forebygg. beh.",1,492921,49,Dental hygienist service,Tandplejer,Tandplejer,,"Dental hygienist, extended preventive care"
"Tandplejere, udvidet paradontalbeh.",1,492930,49,Dental hygienist service,Tandplejer,Tandplejer,,"Dentists, extended periodontal care."
"Tandplejere, udvidet tandrensning",1,491425,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dental hygienist, extended teeth cleaning"
"Tandplejere, us af henvist patient",1,491181,49,Dental hygienist service,Undersøgelse,Undersøgelse,,"Dentist, examination of referred patient"
"Diagnost. radiologi, (procedure not documented)",11,52303,5,Diagnostic radiology,,,,"Diagnostic radiology, (procedure not documented)"
"Diagnost. radiologi, Albue",2,52112,5,Diagnostic radiology,,,,"Diagnostic radiology, Abdomen"
"Diagnost. radiologi, Albue Halvt",1,51115,5,Diagnostic radiology,,,,"Diagnostic radiology, Bone Half"
"Diagnost. radiologi, Albue følgende",1,52212,5,Diagnostic radiology,,,,"Diagnostic radiology, Follow-up of abdomen"
"Diagnost. radiologi, Alm. Urografi",1,50350,5,Diagnostic radiology,,,,"Diagnostic radiology, Alm. Urografi"
"Diagnost. radiologi, Belast.us af led",1,52134,5,Diagnostic radiology,,,,"Diagnostic Radiology, Stress Test of Joints"
"Diagnost. radiologi, Bihuler",2,52121,5,Diagnostic radiology,,,,"Diagnostic radiology, Vertebrae"
"Diagnost. radiologi, Bihuler Halvt",1,51202,5,Diagnostic radiology,,,,"Diagnostic radiology, Bi-Half Ultrasound"
"Diagnost. radiologi, Bry.M.Lunger   Halvt",1,51241,5,Diagnostic radiology,,,,"Diagnostic radiology, Bry.M.Lunger   Halvt"
"Diagnost. radiologi, Bry.M.Lunger & Hjert",1,50241,5,Diagnostic radiology,,,,"Diagnostic radiology, Fracture chest lung & heart"
"Diagnost. radiologi, Brysthvirvler",2,52127,5,Diagnostic radiology,,,,"Diagnostic Radiology, Breast Axillary Nodes"
"Diagnost. radiologi, Brysthvirvler Halvt",1,51240,5,Diagnostic radiology,,,,"Diagnostic Radiology, Chest Spine Half"
"Diagnost. radiologi, Brystk.m.lung./hjert",1,52133,5,Diagnostic radiology,,,,"Diagnostic Radiology, Chest X-ray/Lung/Hear"
"Diagnost. radiologi, Bækken",2,52130,5,Diagnostic radiology,,,,"Diagnostic radiology, Pelvis"
"Diagnost. radiologi, Bækken Halvt",1,51261,5,Diagnostic radiology,,,,"Diagnostic radiology, Pelvis Half"
"Diagnost. radiologi, Cholecystografi",1,50340,5,Diagnostic radiology,,,,"Diagnostic radiology, Cholecystografi"
"Diagnost. radiologi, Db.Kont.Uds.Tykt.Col",1,50460,5,Diagnostic radiology,,,,"Diagnostic radiology, Thick Colon Deferred Exam Ty NOS"
"Diagnost. radiologi, Db.Kont.Un.Tyk. Halv",1,51460,5,Diagnostic radiology,,,,"Diagnostic radiology, Db.Kont.Un.Tyk. Halv"
"Diagnost. radiologi, E-mail konsultation",1,50105,5,Diagnostic radiology,,,,"Diagnostic radiology, Email consultation"
"Diagnost. radiologi, Ekstremiteter",1,52155,5,Diagnostic radiology,,,,"Diagnostic radiology, Ekstremiteter"
"Diagnost. radiologi, Fod",1,50120,5,Diagnostic radiology,,,,"Diagnostic radiology, Fod"
"Diagnost. radiologi, Fod Halvt",1,51120,5,Diagnostic radiology,,,,"Diagnostic Radiology, Foot Half"
"Diagnost. radiologi, Fod/fodled",1,52113,5,Diagnostic radiology,,,,"Diagnostic radiology, Foot/foot joint"
"Diagnost. radiologi, Fodled",1,50125,5,Diagnostic radiology,,,,"Diagnostic radiology, Fodled"
"Diagnost. radiologi, Fodled Halvt",1,51125,5,Diagnostic radiology,,,,"Diagnostic Radiology, Ankle Half"
"Diagnost. radiologi, Funkt.us.rygsøjle if",1,52144,5,Diagnostic radiology,,,,"Diagnostic radiology, Functional spinal imaging if"
"Diagnost. radiologi, Funku.Rygs.I F.Rtg.U",1,50370,5,Diagnostic radiology,,,,"Diagnostic radiology, Funku.Rygs.I F.Rtg.U"
"Diagnost. radiologi, Haleben",1,52129,5,Diagnostic radiology,,,,"Diagnostic Radiology, Spine"
"Diagnost. radiologi, Haleben Halvt",1,51260,5,Diagnostic radiology,,,,"Diagnostic radiology, Thyroid Half"
"Diagnost. radiologi, Hals",1,52152,5,Diagnostic radiology,,,,"Diagnostic radiology, Hals"
"Diagnost. radiologi, Hals- og Luft. Halvt",1,51221,5,Diagnostic radiology,,,,"Diagnostic radiology, Head and Neck Half"
"Diagnost. radiologi, Hals- og Luftrør",1,50221,5,Diagnostic radiology,,,,"Diagnostic radiology, Head and Neck Imaging"
"Diagnost. radiologi, Halshvirvler",2,52126,5,Diagnostic radiology,,,,"Diagnostic radiology, Halshvirvler"
"Diagnost. radiologi, Halshvirvler Halvt",1,51220,5,Diagnostic radiology,,,,"Diagnostic radiology, Neck Vertebral Half"
"Diagnost. radiologi, Hystero-salpingograf",1,52186,5,Diagnostic radiology,,,,"Diagnostic radiology, Hystero-salpingograf"
"Diagnost. radiologi, Hysterosalpino",1,50540,5,Diagnostic radiology,,,,"Diagnostic radiology, Hysterosalpino"
"Diagnost. radiologi, Hånd",1,50101,5,Diagnostic radiology,,,,"Diagnostic radiology, Hand"
"Diagnost. radiologi, Hånd Halvt",1,51101,5,Diagnostic radiology,,,,"Diagnostic radiology, Half Hand"
"Diagnost. radiologi, Hånd/håndled",1,52110,5,Diagnostic radiology,,,,"Diagnostic radiology, Hand/handled"
"Diagnost. radiologi, Hånd/håndled følgende",1,52210,5,Diagnostic radiology,,,,"Diagnostic radiology, Hand/wrist following"
"Diagnost. radiologi, Håndled Halvt",1,51105,5,Diagnostic radiology,,,,"Diagnostic radiology, Half Hand"
"Diagnost. radiologi, Intravenøs Cholangio",1,50510,5,Diagnostic radiology,,,,"Diagnostic radiology, Intravenous Cholangiography"
"Diagnost. radiologi, Knæ",2,52115,5,Diagnostic radiology,,,,"Diagnostic Radiology, Knee"
"Diagnost. radiologi, Knæ   Halvt",1,51140,5,Diagnostic radiology,,,,"Diagnostic radiology, Knee Half"
"Diagnost. radiologi, Kranium",2,52120,5,Diagnostic radiology,,,,"Diagnostic radiology, Kranium"
"Diagnost. radiologi, Kranium Halvt",1,51201,5,Diagnostic radiology,,,,"Diagnostic radiology, Half Skull"
"Diagnost. radiologi, Kæbeled",2,52124,5,Diagnostic radiology,,,,"Diagnostic Radiology, Copenhagen Region"
"Diagnost. radiologi, Kæbeled Halvt",1,51206,5,Diagnostic radiology,,,,"Diagnostic Radiology, Cheek Bone Half"
"Diagnost. radiologi, Lår og Hoftel. Halvt",1,51270,5,Diagnostic radiology,,,,"Diagnostic radiology, Hip and Femur Half"
"Diagnost. radiologi, Lår og Hofteled",1,50270,5,Diagnostic radiology,,,,"Diagnostic radiology, Hip and Femur Lead"
"Diagnost. radiologi, Lår og hofteled",1,52131,5,Diagnostic radiology,,,,"Diagnostic radiology, Lumbar and hip joint imaging"
"Diagnost. radiologi, Lænde og korsbenshv.",1,52128,5,Diagnostic radiology,,,,"Diagnostic Radiology, Spine and Chest X-rays"
"Diagnost. radiologi, Lænde-& Korsb. Halvt",1,51250,5,Diagnostic radiology,,,,"Diagnostic Radiology, Land and Sagittal Half"
"Diagnost. radiologi, Lænde-& Korsbenshv",1,50250,5,Diagnostic radiology,,,,"Diagnostic radiology, Lumbar-& Thoracic spine"
"Diagnost. radiologi, Mammae",1,52153,5,Diagnostic radiology,,,,"Diagnostic radiology, Mammography"
"Diagnost. radiologi, Mammografi",2,52301,5,Diagnostic radiology,,,,"Diagnostic Radiology, Mammography"
"Diagnost. radiologi, Mave M. Tolv.T. Halv",2,51390,5,Diagnostic radiology,,,,"Diagnostic radiology, Mave M. Tolv.T. Halv"
"Diagnost. radiologi, Mave M. Tolvf.Tarm",1,50320,5,Diagnostic radiology,,,,"Diagnostic radiology, Stomach Mid Transverse Colon"
"Diagnost. radiologi, Nedre abdomen, blære",1,52162,5,Diagnostic radiology,,,,"Diagnostic Radiology, Lower Abdomen, Bladder"
"Diagnost. radiologi, Nyrer",1,52151,5,Diagnostic radiology,,,,"Diagnostic radiology, Kidneys"
"Diagnost. radiologi, Overkæbe",1,52122,5,Diagnostic radiology,,,,"Diagnostic Radiology, Upper Jaw"
"Diagnost. radiologi, Overkæbe Halvt",1,51203,5,Diagnostic radiology,,,,"Diagnostic Radiology, Upper Abdomen Half"
"Diagnost. radiologi, Skulderl. M.V. Halvt",1,51230,5,Diagnostic radiology,,,,"Diagnostic radiology, Skulderl. M.V. Halvt"
"Diagnost. radiologi, Skulderl. og Overarm",1,50230,5,Diagnostic radiology,,,,"Diagnostic Radiology, Shoulder and Upper Arm."
"Diagnost. radiologi, Skulderled og overar",1,52125,5,Diagnostic radiology,,,,"Diagnostic radiology, Shoulder joint and upper arm"
"Diagnost. radiologi, Spiserør",2,52140,5,Diagnostic radiology,,,,"Diagnostic radiology, Barium swallow"
"Diagnost. radiologi, Testes",1,52154,5,Diagnostic radiology,,,,"Diagnostic Radiology, Testicles"
"Diagnost. radiologi, Tindingeben Halvt",1,51205,5,Diagnostic radiology,,,,"Diagnostic Radiology, Half Tympanometry"
"Diagnost. radiologi, Tom.A. Rygsøjle",1,50440,5,Diagnostic radiology,,,,"Diagnostic radiology, Tomography A. spine"
"Diagnost. radiologi, Trachea",1,52132,5,Diagnostic radiology,,,,"Diagnostic radiology, Trachea"
"Diagnost. radiologi, Udvidet mammografi",1,52302,5,Diagnostic radiology,,,,"Diagnostic radiology, Extended mammography"
"Diagnost. radiologi, Ukendt",1,52163,5,Diagnostic radiology,,,,"Diagnostic radiology, Ukendt"
"Diagnost. radiologi, Underarm",1,52111,5,Diagnostic radiology,,,,"Diagnostic radiology, Armpit"
"Diagnost. radiologi, Underarm Halvt",1,51110,5,Diagnostic radiology,,,,"Diagnostic radiology, Submental Half"
"Diagnost. radiologi, Underarm følgende",1,52211,5,Diagnostic radiology,,,,"Diagnostic radiology, axillary follow-up"
"Diagnost. radiologi, Underben",2,52114,5,Diagnostic radiology,,,,"Diagnostic radiology, Underben"
"Diagnost. radiologi, Underben Halvt",1,51130,5,Diagnostic radiology,,,,"Diagnostic Radiology, Lower Jaw Half"
"Diagnost. radiologi, belastningsund. af led følgende",1,52234,5,Diagnostic radiology,,,,"Diagnostic Radiology, Stress Undiagnosed Joint Follow-up"
"Diagnost. radiologi, bihuller følgende",1,52221,5,Diagnostic radiology,,,,"Diagnostic radiology, bladder follow-up"
"Diagnost. radiologi, brysthvirvler følgende",1,52227,5,Diagnostic radiology,,,,"Diagnostic radiology, Thoracic vertebrae following"
"Diagnost. radiologi, brystkasse med lunger og hjerte følgende",1,52233,5,Diagnostic radiology,,,,"Diagnostic radiology, chest with lungs and heart follow-up"
"Diagnost. radiologi, bækken følgende",1,52230,5,Diagnostic radiology,,,,"Diagnostic Radiology, Pelvis Follow-up"
"Diagnost. radiologi, ekstremiteter følgende",1,52255,5,Diagnostic radiology,,,,"Diagnostic Radiology, Extremities Follow-Up"
"Diagnost. radiologi, fod/fodled følgende",1,52213,5,Diagnostic radiology,,,,"Diagnostic Radiology, Foot/Foot X-ray Follow-up"
"Diagnost. radiologi, funktionsu. af rygsøjle følgende",1,52244,5,Diagnostic radiology,,,,"Diagnostic radiology, functional examination of spine following"
"Diagnost. radiologi, haleben følgende",1,52229,5,Diagnostic radiology,,,,"Diagnostic radiology, chest follow-up"
"Diagnost. radiologi, hals følgende",1,52252,5,Diagnostic radiology,,,,"Diagnostic radiology, Neck following."
"Diagnost. radiologi, halshvivler følgende",1,52226,5,Diagnostic radiology,,,,"Diagnostic radiology, Neck CT scan following"
"Diagnost. radiologi, knæ følgende",1,52215,5,Diagnostic radiology,,,,"Diagnostic Radiology, Follow-up Exam"
"Diagnost. radiologi, kæbeled følgende",1,52224,5,Diagnostic radiology,,,,"Diagnostic Radiology, Purchase Follow-up"
"Diagnost. radiologi, ltype 7",2,52260,5,Diagnostic radiology,,,,"Diagnostic radiology, ltype 7"
"Diagnost. radiologi, lår og hofteled følgende",1,52231,5,Diagnostic radiology,,,,"Diagnostic radiology, hip and thigh follow-up"
"Diagnost. radiologi, lænde og korsbenshvirvler følgende",1,52228,5,Diagnostic radiology,,,,"Diagnostic Radiology, Lumbar Spine And Sacroiliac Joints Follow-up"
"Diagnost. radiologi, mammae følgende",1,52253,5,Diagnostic radiology,,,,"Diagnostic radiology, mammography follow-up"
"Diagnost. radiologi, nyrer følgende",1,52251,5,Diagnostic radiology,,,,"Diagnostic Radiology, kidneys following"
"Diagnost. radiologi, skulderled og overarm følgende",1,52225,5,Diagnostic radiology,,,,"Diagnostic radiology, shoulder joint and upper arm following"
"Diagnost. radiologi, testes følgende",1,52254,5,Diagnostic radiology,,,,"Diagnostic radiology, testicular follow-up"
"Diagnost. radiologi, tlf. rådgivning",1,50205,5,Diagnostic radiology,,,,"Diagnostic Radiology, Phone Consultation"
"Diagnost. radiologi, underben følgende",1,52214,5,Diagnostic radiology,,,,"Diagnostic radiology, submandibular region following"
"Diagnost. radiologi, ¯vre abdomen",1,52160,5,Diagnostic radiology,,,,"Diagnostic Radiology, Upper Abdomen"
"Tandlægehjælp, (procedure not documented)",10,501116,50,Dental service,,,,"Dental Care, (procedure not documented)"
"Tandlægehjælp, Akut oplukning",1,501605,50,Dental service,Rodbeh. og -fyldn,Tandpleje,,"Dental Help, Emergency Extraction"
"Tandlægehjælp, Alm. Paradontalbeh.",1,501420,50,Dental service,Paradontalbeh. Alm.,Tandpleje,,"Dental Help, General Periodontal Treatment"
"Tandlægehjælp, Apikal amp. og rodf.",1,501606,50,Dental service,Rodbeh. og -fyldn,Tandpleje,,"Dental help, Apical Amp. and root canal."
"Tandlægehjælp, Bitew.dia.foreb.us.",1,501151,50,Dental service,Undersøgelser,Tandpleje,,"Dental Help, Preoperative Bite Registration"
"Tandlægehjælp, Bitewings i.f.m RDU",1,501150,50,Dental service,Undersøgelser,Tandpleje,,"Dental assistance, Bitewing X-rays in conjunction with RDU."
"Tandlægehjælp, Diag. og forebyg.yd",1,502910,50,Dental service,Forebyg. Tandpleje,Ydelser m. højt tils,,"Dental Care, Diagnostic and Preventive Services"
"Tandlægehjælp, Fyldning Amalgam. A",1,501501,50,Dental service,Tandfyld/Gradvis eks,Tandpleje,,"Dental assistance, Amalgam filling A"
"Tandlægehjælp, Fyldning Amalgam. B",1,501502,50,Dental service,Tandfyld/Gradvis eks,Tandpleje,,"Dental Help, Amalgam Filling B"
"Tandlægehjælp, Fyldning Amalgam. C",1,501503,50,Dental service,Tandfyld/Gradvis eks,Tandpleje,,"Dental assistance, Amalgam filling C"
"Tandlægehjælp, Fyldning Emaliecem.D",1,501504,50,Dental service,Tandfyld/Gradvis eks,Tandpleje,,"Dental assistance, Amalgam filling of enamel cavity D"
"Tandlægehjælp, Glasionomerfyldning",2,501507,50,Dental service,Tandfyld/Gradvis eks,Tandpleje,,"Dental assistance, Glass ionomer filling"
"Tandlægehjælp, Gradv.eks Amalgam. A",1,501551,50,Dental service,Tandfyld/Gradvis eks,Tandpleje,,"Dental Assistance, Graduated Amalgam Extraction A"
"Tandlægehjælp, Gradv.eks Amalgam. B",1,501552,50,Dental service,Tandfyld/Gradvis eks,Tandpleje,,"Dental assistance, Graduated exam Amalgam. B"
"Tandlægehjælp, Gradv.eks Amalgam. C",1,501553,50,Dental service,Tandfyld/Gradvis eks,Tandpleje,,"Dental help, Graduated exam Amalgam. C"
"Tandlægehjælp, Hygiejnetillæg",1,503010,50,Dental service,Hygiejnetillæg,Hygiejnetillæg,,"Dental assistance, Hygiene treatment"
"Tandlægehjælp, Indv. forebyg. beh",1,502920,50,Dental service,Forebyg. Tandpleje,Ydelser m. højt tils,,"Dental Help, Preventive Invasive Treatment."
"Tandlægehjælp, Ingen tekst tilgængelig",4,501509,50,Dental service,,,,"Dental service, (no text available)"
"Tandlægehjælp, Kirurgisk Paro. Beh.",1,501440,50,Dental service,Paradontalbeh. Alm.,Tandpleje,,"Dental Help, Surgical Paro. Treat."
"Tandlægehjælp, Kl.un.o.tand.a 18-25",1,502120,50,Dental service,Undersøgelser,Ydelser m. højt tils,,"Dental assistance, Clin. exam. of teeth 18-25"
"Tandlægehjælp, Kl.un.og tand.a o.25",1,501120,50,Dental service,Undersøgelser,Tandpleje,,"Dental assistance, Clinic unit and tooth over 25"
"Tandlægehjælp, Kl.un.og tand.b o.25",1,501130,50,Dental service,Undersøgelser,Tandpleje,,"Dental Assistance, Crown and Tooth Bonding 25"
