# id	da_full	en	confidence	residual
1945	Statens Seruminstitut, almindelig bakteriologisk undersøgelse, urin,	Statens Serum Institut, Ordinary bacteriological examination, urine,	high	
1946	Statens Seruminstitut, almindelig bakteriologisk undersøgelse, øvre	Statens Serum Institut, Ordinary bacteriological examination, upper	high	
1947	Statens Seruminstitut, almindelig bakteriologisk undersøgelse,Blod	Statens Serum Institut, Ordinary bacteriological examination,blood	high	
1948	Statens Seruminstitut, almindelig bakteriologisk undersøgelse,Blod (	Statens Serum Institut, Ordinary bacteriological examination,blood (	high	
1949	Statens Seruminstitut, almindelig bakteriologisk undersøgelse,Gardne	Statens Serum Institut, Ordinary bacteriological examination,gardne	high	
1950	Statens Seruminstitut, Analysesvar fra Lab	Statens Serum Institut, Analysesvar from lab	high	
1951	Statens Seruminstitut, Andre bakterier	Statens Serum Institut, Andre bakterier	high	
1952	Statens Seruminstitut, Androgenstatus	Statens Serum Institut, Androgenstatus	high	
1953	Statens Seruminstitut, Androgenstatus excl	Statens Serum Institut, Androgenstatus excl	high	
1954	Statens Seruminstitut, Androstendion (4-AD	Statens Serum Institut, Androstendion (4-ad	high	
1955	Statens Seruminstitut, Anti-AChR	Statens Serum Institut, Anti-achr	high	
1956	Statens Seruminstitut, Anti-Beta2 GP i (Ig	Statens Serum Institut, Anti-beta2 gp in (ig	high	
1957	Statens Seruminstitut, Anti-MuSK	Statens Serum Institut, Anti-musk	high	
1958	Statens Seruminstitut, Anti-TSH-R i thyreo	Statens Serum Institut, Anti-tsh-r in thyreo	high	
1959	Statens Seruminstitut, Antibiotika koncent	Statens Serum Institut, Antibiotika koncent	high	
1960	Statens Seruminstitut, Antinucleære antist	Statens Serum Institut, Antinuclear antist	high	
1961	Statens Seruminstitut, Arbovirus (andre) a	Statens Serum Institut, Arbovirus (andre) a	high	
1962	Statens Seruminstitut, Aspergillus antisto	Statens Serum Institut, Aspergillus antisto	high	
1963	Statens Seruminstitut, Aspergillus galact.	Statens Serum Institut, Aspergillus galact.	low	Y
1964	Statens Seruminstitut, Astrovirus antigen	Statens Serum Institut, Astrovirus antigen	high	
1965	Statens Seruminstitut, Autoimmun thyreoidi	Statens Serum Institut, Autoimmun thyreoidi	high	
1966	Statens Seruminstitut, Bartonella antistof	Statens Serum Institut, Bartonella antibody	high	
1967	Statens Seruminstitut, Beta-2 Glykoprotein	Statens Serum Institut, Beta-2 glykoprotein	high	
1968	Statens Seruminstitut, Binyrebark antistof	Statens Serum Institut, Binyrebark antibody	high	
1969	Statens Seruminstitut, Borrelia burgdorfer	Statens Serum Institut, Borrelia burgdorfer	high	
1970	Statens Seruminstitut, Brucella antistof	Statens Serum Institut, Brucella antibody	high	
1971	Statens Seruminstitut, Børneorm	Statens Serum Institut, Pinworm	high	
1972	Statens Seruminstitut, C1-inhibitorfunktio	Statens Serum Institut, C1-inhibitorfunktio	high	
1973	Statens Seruminstitut, C3, C4 konc. ved ko	Statens Serum Institut, C3, c4 konc. by ko	low	Y
1974	Statens Seruminstitut, CA 15-3	Statens Serum Institut, Ca 15-3	high	
1975	Statens Seruminstitut, CA 19-9	Statens Serum Institut, Ca 19-9	high	
1976	Statens Seruminstitut, Calicivirus PCR	Statens Serum Institut, Calicivirus pcr	high	
1977	Statens Seruminstitut, Calicivirus RNA (PC	Statens Serum Institut, Calicivirus rna (pc	high	
1978	Statens Seruminstitut, Calicivirus(Norwalk	Statens Serum Institut, Calicivirus(norwalk	high	
1979	Statens Seruminstitut, Campylobacter antis	Statens Serum Institut, Campylobacter antis	high	
1980	Statens Seruminstitut, Cancerantigen 125 (	Statens Serum Institut, Cancerantigen 125 (	high	
1981	Statens Seruminstitut, Candida antistof	Statens Serum Institut, Candida antibody	high	
1982	Statens Seruminstitut, Carbohydrat-deficie	Statens Serum Institut, Carbohydrat-deficie	high	
1983	Statens Seruminstitut, Carcinoembryonalt a	Statens Serum Institut, Carcinoembryonalt a	high	
1984	Statens Seruminstitut, Cardiolipin antisto	Statens Serum Institut, Cardiolipin antisto	high	
1985	Statens Seruminstitut, Cardiolipin i pakke	Statens Serum Institut, Cardiolipin in pakke	high	
1986	Statens Seruminstitut, Chlam.komp.bind.tes	Statens Serum Institut, Chlam.komp.bind.tes	high	
1987	Statens Seruminstitut, Chlam.kompl.bind.te	Statens Serum Institut, Chlam.kompl.bind.te	high	
1988	Statens Seruminstitut, Chlamydia komplemen	Statens Serum Institut, Chlamydia komplemen	high	
1989	Statens Seruminstitut, Chlamydia species a	Statens Serum Institut, Chlamydia species a	high	
1990	Statens Seruminstitut, Chlamydia trach. PC	Statens Serum Institut, Chlamydia trach. pc	low	Y
1991	Statens Seruminstitut, Chlamydia trachomat	Statens Serum Institut, Chlamydia trachomat	high	
1992	Statens Seruminstitut, Chlamydophila pneum	Statens Serum Institut, Chlamydophila pneum	high	
1993	Statens Seruminstitut, Chlamydophila psitt	Statens Serum Institut, Chlamydophila psitt	high	
1994	Statens Seruminstitut, Coeliaki mistanke	Statens Serum Institut, Coeliaki mistanke	high	
1995	Statens Seruminstitut, Cortisol	Statens Serum Institut, Cortisol	high	
1996	Statens Seruminstitut, Coxiella burnetii a	Statens Serum Institut, Coxiella burnetii a	high	
1997	Statens Seruminstitut, Cryptosporidium	Statens Serum Institut, Cryptosporidium	high	
1998	Statens Seruminstitut, Cystisk fibrose anl	Statens Serum Institut, Cystisk fibrose anl	low	Y
1999	Statens Seruminstitut, Cytomegalovirus (CM	Statens Serum Institut, Cytomegalovirus (cm	high	
2000	Statens Seruminstitut, Cytomegalvirus (CMV	Statens Serum Institut, Cytomegalvirus (cmv	high	
2001	Statens Seruminstitut, Cøliaki	Statens Serum Institut, Cøliaki	low	Y
2002	Statens Seruminstitut, Cøliaki-vævstypeund	Statens Serum Institut, Cøliaki-vævstypeund	low	Y
2003	Statens Seruminstitut, Dehydroepiandoroste	Statens Serum Institut, Dehydroepiandoroste	high	
2004	Statens Seruminstitut, Dehydroepiandroster	Statens Serum Institut, Dehydroepiandroster	high	
2005	Statens Seruminstitut, Dengue PCR	Statens Serum Institut, Dengue pcr	high	
2006	Statens Seruminstitut, Denguevirus antisto	Statens Serum Institut, Denguevirus antisto	high	
2007	Statens Seruminstitut, Diarré hos immunkom	Statens Serum Institut, Diarré to immunkom	high	
2008	Statens Seruminstitut, Difteri vaccine til	Statens Serum Institut, Difteri vaccine to	high	
2009	Statens Seruminstitut, Difteri-Tetanus vac	Statens Serum Institut, Difteri-tetanus vac	high	
2010	Statens Seruminstitut, Difteritoksin antis	Statens Serum Institut, Difteritoksin antis	high	
2011	Statens Seruminstitut, Doubletest	Statens Serum Institut, Doubletest	high	
2012	Statens Seruminstitut, E. coli PCR	Statens Serum Institut, E. coli pcr	high	
2013	Statens Seruminstitut, E.coli PCR, Akut	Statens Serum Institut, E.coli pcr, acute	high	
2014	Statens Seruminstitut, E.coli PCR, Persist	Statens Serum Institut, E.coli pcr, persist	high	
2015	Statens Seruminstitut, E.coli PCR, Rejesed	Statens Serum Institut, E.coli pcr, rejesed	high	
2016	Statens Seruminstitut, E.coli PCR, immunsu	Statens Serum Institut, E.coli pcr, immunsu	high	
2017	Statens Seruminstitut, ENA (U1RNP/Sm) anti	Statens Serum Institut, Ena (u1rnp/sm) anti	high	
2018	Statens Seruminstitut, ENA i pakke (møn.8)	Statens Serum Institut, Ena in pakke (møn.8)	low	Y
2019	Statens Seruminstitut, Echinococcus Multil	Statens Serum Institut, Echinococcus multil	high	
2020	Statens Seruminstitut, Echinococcus granul	Statens Serum Institut, Echinococcus granul	high	
2021	Statens Seruminstitut, Ehrlichia antistof	Statens Serum Institut, Ehrlichia antibody	high	
2022	Statens Seruminstitut, Endomysium antistof	Statens Serum Institut, Endomysium antibody	high	
2023	Statens Seruminstitut, Endomysium i Cøliak	Statens Serum Institut, Endomysium in cøliak	low	Y
2024	Statens Seruminstitut, Entamoeba antistof	Statens Serum Institut, Entamoeba antibody	high	
2025	Statens Seruminstitut, Enterovirus (EV) anæstesi	Statens Serum Institut, Enterovirus (ev) anaesthesia	high	
2026	Statens Seruminstitut, Enterovirus (EV), i	Statens Serum Institut, Enterovirus (ev), in	high	
2027	Statens Seruminstitut, Enterovirus RNA (RT	Statens Serum Institut, Enterovirus rna (rt	high	
2028	Statens Seruminstitut, Epstein-Barr virus	Statens Serum Institut, Epstein-barr virus	high	
2029	Statens Seruminstitut, Faktor V Leiden mut	Statens Serum Institut, Faktor v leiden mut	high	
2030	Statens Seruminstitut, Filarier antistof (	Statens Serum Institut, Filarier antibody (	high	
2031	Statens Seruminstitut, Flåtpakke - 4 analy	Statens Serum Institut, Flåtpakke - 4 analy	low	Y
2032	Statens Seruminstitut, Flåtpakke - Borreli	Statens Serum Institut, Flåtpakke - borreli	low	Y
2033	Statens Seruminstitut, Follikelstimulerend	Statens Serum Institut, Follikelstimulerend	high	
2034	Statens Seruminstitut, Fostervandsundersøg	Statens Serum Institut, Fostervandsundersøg	low	Y
2035	Statens Seruminstitut, Franciscella tulare	Statens Serum Institut, Franciscella tulare	high	
2036	Statens Seruminstitut, Frit testosteron (F	Statens Serum Institut, Frit testosteron (f	high	
2037	Statens Seruminstitut, Fund af middel til	Statens Serum Institut, Fund of middel to	high	
2038	Statens Seruminstitut, GAD-65 antistof (Ig	Statens Serum Institut, Gad-65 antibody (ig	high	
2039	Statens Seruminstitut, GAD-65 i Diabetes med	Statens Serum Institut, Gad-65 in diabetes with	high	
2040	Statens Seruminstitut, GS-ANA (IgG screeni	Statens Serum Institut, Gs-ana (igg screeni	high	
2041	Statens Seruminstitut, GS-ANA (IgG) screen	Statens Serum Institut, Gs-ana (igg) screen	high	
2042	Statens Seruminstitut, Gamle parasitunders	Statens Serum Institut, Gamle parasitunders	high	
2043	Statens Seruminstitut, Germinalcelletumor-	Statens Serum Institut, Germinalcelletumor-	high	
2044	Statens Seruminstitut, Glat muskel antisto	Statens Serum Institut, Glat muskel antisto	high	
2045	Statens Seruminstitut, Glat muskel i Hepat	Statens Serum Institut, Glat muskel in hepat	high	
2046	Statens Seruminstitut, Gliadin antistoffer	Statens Serum Institut, Gliadin antibodies	high	
2047	Statens Seruminstitut, Gliadin i Cøliaki p	Statens Serum Institut, Gliadin in cøliaki p	low	Y
2048	Statens Seruminstitut, Glomerulus basalmem	Statens Serum Institut, Glomerulus basalmem	high	
2049	Statens Seruminstitut, Gonokok antistof (G	Statens Serum Institut, Gonokok antibody (g	high	
2050	Statens Seruminstitut, Gonokokker dyrkning	Statens Serum Institut, Gonokokker dyrkning	low	Y
2051	Statens Seruminstitut, Gonokokker, dyrknin	Statens Serum Institut, Gonokokker, dyrknin	high	
2052	Statens Seruminstitut, Gonokokker, resiste	Statens Serum Institut, Gonokokker, resiste	high	
2053	Statens Seruminstitut, Gær- og skimmelsvam	Statens Serum Institut, Gær- and skimmelsvam	low	Y
2054	Statens Seruminstitut, Gærsvampe	Statens Serum Institut, Gærsvampe	low	Y
2055	Statens Seruminstitut, HBc (HB core) antis	Statens Serum Institut, Hbc (hb core) antis	high	
2056	Statens Seruminstitut, HISTON i pakke (møn	Statens Serum Institut, Histon in pakke (møn	low	Y
2057	Statens Seruminstitut, HIV 1/2 konfirmator	Statens Serum Institut, Hiv 1/2 konfirmator	high	
2058	Statens Seruminstitut, HIV antigen	Statens Serum Institut, Hiv antigen	high	
2059	Statens Seruminstitut, HIV-1/2 screening	Statens Serum Institut, Hiv-1/2 screening	low	Y
2060	Statens Seruminstitut, HIV-1/2 screening og	Statens Serum Institut, Hiv-1/2 screening and	low	Y
2061	Statens Seruminstitut, HLA-B27 Genotypning	Statens Serum Institut, Hla-b27 genotypning	low	Y
2062	Statens Seruminstitut, Haemophilus influen	Statens Serum Institut, Haemophilus influen	high	
2063	Statens Seruminstitut, Hantavirus PCR (RNA	Statens Serum Institut, Hantavirus pcr (rna	high	
2064	Statens Seruminstitut, Heb.b.virus (HBsAG)	Statens Serum Institut, Heb.b.virus (hbsag)	high	
2065	Statens Seruminstitut, Helicobacter pylori	Statens Serum Institut, Helicobacter pylori	high	
2066	Statens Seruminstitut, Hepatitis A & B kom	Statens Serum Institut, Hepatitis a & b kom	high	
2067	Statens Seruminstitut, Hepatitis A og B ko	Statens Serum Institut, Hepatitis a and b ko	high	
2068	Statens Seruminstitut, Hepatitis A virus (	Statens Serum Institut, Hepatitis a virus (	high	
2069	Statens Seruminstitut, Hepatitis A virus(H	Statens Serum Institut, Hepatitis a virus(h	high	
2070	Statens Seruminstitut, Hepatitis B vaccine	Statens Serum Institut, Hepatitis b vaccine	high	
2071	Statens Seruminstitut, Hepatitis B virus (	Statens Serum Institut, Hepatitis b virus (	high	
2072	Statens Seruminstitut, Hepatitis B virus c	Statens Serum Institut, Hepatitis b virus c	high	
2073	Statens Seruminstitut, Hepatitis B virus e	Statens Serum Institut, Hepatitis b virus e	high	
2074	Statens Seruminstitut, Hepatitis B virus s	Statens Serum Institut, Hepatitis b virus s	high	
2075	Statens Seruminstitut, Hepatitis C virus a	Statens Serum Institut, Hepatitis c virus a	high	
2076	Statens Seruminstitut, Hepatitis C virus g	Statens Serum Institut, Hepatitis c virus g	high	
2077	Statens Seruminstitut, Hepatitis C virus,	Statens Serum Institut, Hepatitis c virus,	high	
2078	Statens Seruminstitut, Hepatitis D virus a	Statens Serum Institut, Hepatitis d virus a	high	
2079	Statens Seruminstitut, Hepatitis E virus (	Statens Serum Institut, Hepatitis e virus (	high	
2080	Statens Seruminstitut, Herpes Simplex viru	Statens Serum Institut, Herpes simplex viru	high	
2081	Statens Seruminstitut, Histon antistof (Ig	Statens Serum Institut, Histon antibody (ig	high	
2082	Statens Seruminstitut, Hudantistoffer (IgG	Statens Serum Institut, Hudantistoffer (igg	high	
2083	Statens Seruminstitut, Hudsvamp i negl, PC	Statens Serum Institut, Hudsvamp in negl, pc	high	
2084	Statens Seruminstitut, Hudsvamp i negl, dy	Statens Serum Institut, Hudsvamp in negl, dy	high	
2085	Statens Seruminstitut, Hudsvamp i negle, P	Statens Serum Institut, Hudsvamp in negle, p	high	
2086	Statens Seruminstitut, Hudsvampe, dyrkning	Statens Serum Institut, Hudsvampe, dyrkning	low	Y
2087	Statens Seruminstitut, Hudsvampe, mikroskopi med	Statens Serum Institut, Hudsvampe, microscopy with	high	
2088	Statens Seruminstitut, Hudsvampe, mikrosko	Statens Serum Institut, Hudsvampe, mikrosko	high	
2089	Statens Seruminstitut, Human Herpesvirus-6	Statens Serum Institut, Human herpesvirus-6	high	
2090	Statens Seruminstitut, Human Papillomaviru	Statens Serum Institut, Human papillomaviru	high	
2091	Statens Seruminstitut, Human herpes virus	Statens Serum Institut, Human herpes virus	high	
2092	Statens Seruminstitut, Human immundefekt v	Statens Serum Institut, Human immundefekt v	high	
2093	Statens Seruminstitut, Humant choriongonad	Statens Serum Institut, Humant choriongonad	high	
2094	Statens Seruminstitut, Humant normalt immu	Statens Serum Institut, Humant normalt immu	high	
2095	Statens Seruminstitut, Hæmokromatose (HFE)	Statens Serum Institut, Hæmokromatose (hfe)	low	Y
2096	Statens Seruminstitut, IA-2 i Diabetes mel	Statens Serum Institut, Ia-2 in diabetes mel	high	
2097	Statens Seruminstitut, INF-g påvisning TB	Statens Serum Institut, Inf-g påvisning tb	low	Y
2098	Statens Seruminstitut, Ident. af rendyrket	Statens Serum Institut, Ident. of rendyrket	low	Y
2099	Statens Seruminstitut, IgA-RF i Symmetrisk	Statens Serum Institut, Iga-rf in symmetrisk	low	Y
2100	Statens Seruminstitut, IgM RF i Symmetrisk	Statens Serum Institut, Igm rf in symmetrisk	low	Y
2101	Statens Seruminstitut, Immunglobulin klass	Statens Serum Institut, Immunglobulin klass	high	
2102	Statens Seruminstitut, Immunsuppr.	Statens Serum Institut, Immunsuppr.	low	Y
2103	Statens Seruminstitut, Influenzavirus anti	Statens Serum Institut, Influenzavirus anti	high	
2104	Statens Seruminstitut, Insulin i Diabetes	Statens Serum Institut, Insulin in diabetes	high	
2105	Statens Seruminstitut, Intrinsic faktor anæstesi	Statens Serum Institut, Intrinsic faktor anaesthesia	high	
2106	Statens Seruminstitut, Jo-1 antistof (IgG)	Statens Serum Institut, Jo-1 antibody (igg)	high	
2107	Statens Seruminstitut, KULPODEPIND plast,	Statens Serum Institut, Kulpodepind plast,	high	
2108	Statens Seruminstitut, Keratin antistof Ig	Statens Serum Institut, Keratin antibody ig	high	
2109	Statens Seruminstitut, Kighostebakterier,	Statens Serum Institut, Kighostebakterier,	high	
2110	Statens Seruminstitut, Komplement C4	Statens Serum Institut, Komplement c4	high	
2111	Statens Seruminstitut, Komplementscreen in	Statens Serum Institut, Komplementscreen in	high	
2112	Statens Seruminstitut, Laktose intolerans	Statens Serum Institut, Laktose intolerans	high	
2113	Statens Seruminstitut, Legionella antigen	Statens Serum Institut, Legionella antigen	high	
2114	Statens Seruminstitut, Legionella antistof	Statens Serum Institut, Legionella antibody	high	
2115	Statens Seruminstitut, Legionella, PCR	Statens Serum Institut, Legionella, pcr	high	
2116	Statens Seruminstitut, Leishmania spp. ant	Statens Serum Institut, Leishmania spp. ant	low	Y
2117	Statens Seruminstitut, Leptospira antistof	Statens Serum Institut, Leptospira antibody	high	
2118	Statens Seruminstitut, Lever cytosol i Hep	Statens Serum Institut, Lever cytosol in hep	high	
2119	Statens Seruminstitut, Lever-nyre mikrosom	Statens Serum Institut, Lever-nyre mikrosom	high	
2120	Statens Seruminstitut, Listeria antistoffe	Statens Serum Institut, Listeria antistoffe	high	
2121	Statens Seruminstitut, Luftvejspanel (Infl	Statens Serum Institut, Luftvejspanel (infl	high	
2122	Statens Seruminstitut, Luteiniserende horm	Statens Serum Institut, Luteiniserende horm	high	
2123	Statens Seruminstitut, Lymfogranuloma-Vene	Statens Serum Institut, Lymfogranuloma-vene	high	
2124	Statens Seruminstitut, M-Komponent	Statens Serum Institut, M-komponent	high	
2125	Statens Seruminstitut, MBL deficiens under	Statens Serum Institut, Mbl deficiens under	high	
2126	Statens Seruminstitut, MBL deficiens undersøgelse,	Statens Serum Institut, Mbl deficiens examination,	high	
2127	Statens Seruminstitut, MBL genotypning	Statens Serum Institut, Mbl genotypning	low	Y
2128	Statens Seruminstitut, MPO-ANCA (IgG)	Statens Serum Institut, Mpo-anca (igg)	high	
2129	Statens Seruminstitut, Malariaparasitter,	Statens Serum Institut, Malariaparasitter,	high	
2130	Statens Seruminstitut, Mannan bindende pro	Statens Serum Institut, Mannan bindende pro	high	
2131	Statens Seruminstitut, Meningokok antistof	Statens Serum Institut, Meningokok antibody	high	
2132	Statens Seruminstitut, Microsporidium	Statens Serum Institut, Microsporidium	high	
2133	Statens Seruminstitut, Mitokondrie antisto	Statens Serum Institut, Mitokondrie antisto	high	
2134	Statens Seruminstitut, Mkrsp./indsendt materiale	Statens Serum Institut, Mkrsp./indsendt material	low	Y
2135	Statens Seruminstitut, Mononukleose (Paul	Statens Serum Institut, Mononukleose (paul	high	
2136	Statens Seruminstitut, Morbillivirus antis	Statens Serum Institut, Morbillivirus antis	high	
2137	Statens Seruminstitut, Motorisk/sensorisk	Statens Serum Institut, Motorisk/sensorisk	low	Y
2138	Statens Seruminstitut, Mycobacterium tub.	Statens Serum Institut, Mycobacterium tub.	low	Y
2139	Statens Seruminstitut, Mycobacterium tuber	Statens Serum Institut, Mycobacterium tuber	high	
2140	Statens Seruminstitut, Mycopl. pneum. anti	Statens Serum Institut, Mycopl. pneum. anti	low	Y
2141	Statens Seruminstitut, Mycoplasma gen. PCR	Statens Serum Institut, Mycoplasma gen. pcr	low	Y
2142	Statens Seruminstitut, Mycoplasma genitali	Statens Serum Institut, Mycoplasma genitali	high	
2143	Statens Seruminstitut, Mycoplasma hominis	Statens Serum Institut, Mycoplasma hominis	high	
2144	Statens Seruminstitut, Mycoplasma hominis,	Statens Serum Institut, Mycoplasma hominis,	high	
2145	Statens Seruminstitut, Mycoplasma pneumoni	Statens Serum Institut, Mycoplasma pneumoni	high	
2146	Statens Seruminstitut, Mykobakterier, arts	Statens Serum Institut, Mykobakterier, arts	high	
2147	Statens Seruminstitut, Mykobakterier, mikroskopi	Statens Serum Institut, Mykobakterier, microscopy	high	
2148	Statens Seruminstitut, Mæslinge vaccine 1	Statens Serum Institut, Mæslinge vaccine 1	low	Y
2149	Statens Seruminstitut, Neonatal screening,	Statens Serum Institut, Neonatal screening,	low	Y
2150	Statens Seruminstitut, PCR (RNA) RSV	Statens Serum Institut, Pcr (rna) rsv	high	
2151	Statens Seruminstitut, PCR (RNA) influenza	Statens Serum Institut, Pcr (rna) influenza	high	
2152	Statens Seruminstitut, PCR for Haemophilus	Statens Serum Institut, Pcr for haemophilus	high	
2153	Statens Seruminstitut, POS ANCA488	Statens Serum Institut, Pos anca488	high	
2154	Statens Seruminstitut, PR3-ANCA (IgG)	Statens Serum Institut, Pr3-anca (igg)	high	
2155	Statens Seruminstitut, Parainfluenzavirus	Statens Serum Institut, Parainfluenzavirus	high	
2156	Statens Seruminstitut, Paraneoplastik synd	Statens Serum Institut, Paraneoplastik synd	high	
2157	Statens Seruminstitut, Parasitologisk unde	Statens Serum Institut, Parasitologisk unde	low	Y
2158	Statens Seruminstitut, Parasitter fra immu	Statens Serum Institut, Parasitter from immu	high	
2159	Statens Seruminstitut, Parasitter fra pers	Statens Serum Institut, Parasitter from pers	high	
2160	Statens Seruminstitut, Parasitter fra rejs	Statens Serum Institut, Parasitter from rejs	high	
2161	Statens Seruminstitut, Parasitter mikrosko	Statens Serum Institut, Parasitter mikrosko	high	
2162	Statens Seruminstitut, Parietalcelle antis	Statens Serum Institut, Parietalcelle antis	high	
2163	Statens Seruminstitut, Parotitisvirus anti	Statens Serum Institut, Parotitisvirus anti	high	
2164	Statens Seruminstitut, Parrietalcelle anti	Statens Serum Institut, Parrietalcelle anti	high	
2165	Statens Seruminstitut, Parvovirus B-19 ant	Statens Serum Institut, Parvovirus b-19 ant	high	
2166	Statens Seruminstitut, Parvovirus B-19, DN	Statens Serum Institut, Parvovirus b-19, dn	high	
2167	Statens Seruminstitut, Persisterend diarré	Statens Serum Institut, Persisterend diarré	high	
2168	Statens Seruminstitut, Persisterende  + 1	Statens Serum Institut, Persisterende + 1	high	
2169	Statens Seruminstitut, Persisterende diarr	Statens Serum Institut, Persisterende diarr	high	
2170	Statens Seruminstitut, Pityrosporum/Malass	Statens Serum Institut, Pityrosporum/malass	high	
2171	Statens Seruminstitut, Plasmodium spp. ant	Statens Serum Institut, Plasmodium spp. ant	low	Y
2172	Statens Seruminstitut, Pneumokok antigen	Statens Serum Institut, Pneumokok antigen	high	
2173	Statens Seruminstitut, Pneumokok antigen (	Statens Serum Institut, Pneumokok antigen (	high	
2174	Statens Seruminstitut, Pneumokok antistof	Statens Serum Institut, Pneumokok antibody	high	
2175	Statens Seruminstitut, Pneumokok antistoff	Statens Serum Institut, Pneumokok antistoff	high	
2176	Statens Seruminstitut, Pneumokok vaccine p	Statens Serum Institut, Pneumokok vaccine p	high	
2177	Statens Seruminstitut, Poliovirus neutrali	Statens Serum Institut, Poliovirus neutrali	high	
2178	Statens Seruminstitut, Polymyositis (USA p	Statens Serum Institut, Polymyositis (usa p	high	
2179	Statens Seruminstitut, Poxvirus, Elektronm	Statens Serum Institut, Poxvirus, elektronm	high	
2180	Statens Seruminstitut, Progesteron	Statens Serum Institut, Progesteron	high	
2181	Statens Seruminstitut, Prolactin	Statens Serum Institut, Prolactin	high	
2182	Statens Seruminstitut, Prostataspecifikt a	Statens Serum Institut, Prostataspecifikt a	high	
2183	Statens Seruminstitut, Proteus antistof (W	Statens Serum Institut, Proteus antibody (w	high	
2184	Statens Seruminstitut, Prøveforb. til viru	Statens Serum Institut, Test preparation. to viru	low	Y
2185	Statens Seruminstitut, Rabies antistoffer	Statens Serum Institut, Rabies antibodies	high	
2186	Statens Seruminstitut, Rabies vaccine 1 do	Statens Serum Institut, Rabies vaccine 1 do	high	
2187	Statens Seruminstitut, Reaktiv Artritis/Ta	Statens Serum Institut, Reaktiv artritis/ta	high	
2188	Statens Seruminstitut, Rejsediarre	Statens Serum Institut, Rejsediarre	high	
2189	Statens Seruminstitut, Rejsediarré	Statens Serum Institut, Rejsediarré	high	
2190	Statens Seruminstitut, Res. (1) midler til	Statens Serum Institut, Res. (1) midler to	low	Y
2191	Statens Seruminstitut, Res. (2) midler til	Statens Serum Institut, Res. (2) midler to	low	Y
2192	Statens Seruminstitut, Resistensbestem. fo	Statens Serum Institut, Resistensbestem. fo	low	Y
2193	Statens Seruminstitut, Respirationsvejs PC	Statens Serum Institut, Respirationsvejs pc	high	
2194	Statens Seruminstitut, Retikulin antistoff	Statens Serum Institut, Retikulin antistoff	high	
2195	Statens Seruminstitut, Reumafaktor (IgA)	Statens Serum Institut, Reumafaktor (iga)	high	
2196	Statens Seruminstitut, Reumafaktor (IgM)	Statens Serum Institut, Reumafaktor (igm)	high	
2197	Statens Seruminstitut, Reumatoid artrit (n	Statens Serum Institut, Reumatoid artrit (n	high	
2198	Statens Seruminstitut, Rhinovirus PCR	Statens Serum Institut, Rhinovirus pcr	high	
2199	Statens Seruminstitut, Ribosomalt RNP anti	Statens Serum Institut, Ribosomalt rnp anti	high	
2200	Statens Seruminstitut, Rota-,adeno-& astro	Statens Serum Institut, Rota-,adeno-& astro	high	
2201	Statens Seruminstitut, Rota-,adeno-astro-,	Statens Serum Institut, Rota-,adeno-astro-,	high	
2202	Statens Seruminstitut, Rotavirus antigen i	Statens Serum Institut, Rotavirus antigen in	high	
2203	Statens Seruminstitut, Rotavirus i akut ga	Statens Serum Institut, Rotavirus in acute ga	high	
2204	Statens Seruminstitut, Rubella IgG infekti	Statens Serum Institut, Rubella igg infekti	high	
2205	Statens Seruminstitut, Rubellavirus antist	Statens Serum Institut, Rubellavirus antist	high	
2206	Statens Seruminstitut, S 100 b	Statens Serum Institut, S 100 b	high	
2207	Statens Seruminstitut, SSA (Ro)/SSB (La) a	Statens Serum Institut, Ssa (ro)/ssb (la) a	high	
2208	Statens Seruminstitut, SSA/SSB i pakke (mø	Statens Serum Institut, Ssa/ssb in pakke (mø	low	Y
2209	Statens Seruminstitut, Salmonella antistof	Statens Serum Institut, Salmonella antibody	high	
2210	Statens Seruminstitut, Sarcolemma antistof	Statens Serum Institut, Sarcolemma antibody	high	
2211	Statens Seruminstitut, Schistosoma	Statens Serum Institut, Schistosoma	high	
2212	Statens Seruminstitut, Schistosoma antisto	Statens Serum Institut, Schistosoma antisto	high	
2213	Statens Seruminstitut, Scl-70 antistof (Ig	Statens Serum Institut, Scl-70 antibody (ig	high	
2214	Statens Seruminstitut, Scl-70 antistof i p	Statens Serum Institut, Scl-70 antibody in p	high	
2215	Statens Seruminstitut, Sensorisk neuropati	Statens Serum Institut, Sensorisk neuropati	low	Y
2216	Statens Seruminstitut, Sexsualhormon binde	Statens Serum Institut, Sexsualhormon binde	high	
2217	Statens Seruminstitut, Spermie antistof	Statens Serum Institut, Spermie antibody	high	
2218	Statens Seruminstitut, Streptokok DNAse B	Statens Serum Institut, Streptokok dnase b	high	
2219	Statens Seruminstitut, Strongyloides antis	Statens Serum Institut, Strongyloides antis	high	
2220	Statens Seruminstitut, Syfilis antistoffer	Statens Serum Institut, Syfilis antibodies	high	
2221	Statens Seruminstitut, Syfilis og HIV anti	Statens Serum Institut, Syfilis and hiv anti	high	
2222	Statens Seruminstitut, Syfilis udvidet STS	Statens Serum Institut, Syfilis udvidet sts	high	
2223	Statens Seruminstitut, Syfilisbakterier, med	Statens Serum Institut, Syfilisbakterier, with	high	
2224	Statens Seruminstitut, Syfilisscreen af gr	Statens Serum Institut, Syfilisscreen of gr	high	
2225	Statens Seruminstitut, Syfilisscreening af	Statens Serum Institut, Syfilisscreening of	low	Y
